ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
33	"ENSG00000233940"	NA	chr1	+	35059039	35059271	35059084	35059271	35053467	35053713	33	25,3,14	18,26,24	32,5,16	22,3,11	144	99	0.0142998765603	0.07063272361602728	0.488,0.073,0.286	0.5,0.534,0.5	-0.229
34	"ENSG00000224174"	NA	chr1	+	16521563	16521796	16521613	16521796	16520693	16520787	34	64,59,71	9,12,11	75,80,70	20,25,18	149	99	0.0260078642319	0.11648466614428918	0.825,0.766,0.811	0.714,0.68,0.721	0.096
35	"ENSG00000156171"	NA	chr1	-	111139065	111139123	111139065	111139097	111139500	111140203	35	39,28,42	85,67,58	29,29,43	77,66,71	125	99	0.623801893086	1.0	0.267,0.249,0.364	0.23,0.258,0.324	0.023
36	"ENSG00000230550"	NA	chr1	+	204142648	204143327	204142749	204143327	204141403	204142260	36	1234,1352,1396	2,2,5	1319,1357,1277	0,1,7	200	99	1	1.0	0.997,0.997,0.993	1.0,0.999,0.989	-0.0
37	"ENSG00000143858"	NA	chr1	-	202643277	202643453	202643277	202643385	202710257	202710454	37	5,12,6	0,0,1	13,13,11	1,0,0	167	99	1	1.0	1.0,1.0,0.781	0.885,1.0,1.0	-0.035
38	"ENSG00000227963"	NA	chr1	-	110318764	110318882	110318764	110318789	110338996	110339171	38	23,17,9	7,7,10	16,13,21	13,21,16	192	99	0.0969478349966	0.35116660232101776	0.629,0.556,0.317	0.388,0.242,0.404	0.156
39	"ENSG00000117616"	NA	chr1	-	25247308	25247457	25247308	25247366	25253113	25253937	39	6,7,6	16,19,6	4,25,15	4,7,7	190	99	0.000553891685159	0.004751807614785106	0.163,0.161,0.343	0.343,0.65,0.528	-0.285
40	"ENSG00000230759"	NA	chr1	+	103425104	103425465	103425193	103425465	103414878	103414935	40	596,677,710	1,0,0	669,654,604	1,0,1	188	99	1	1.0	0.997,1.0,1.0	0.997,1.0,0.997	0.001
41	"ENSG00000236942"	NA	chr1	+	205625982	205626153	205626044	205626153	205625482	205625664	41	343,317,302	8,13,4	143,129,144	11,2,11	161	99	0.0154241822527	0.07394534432912059	0.963,0.937,0.979	0.889,0.975,0.889	0.042
42	"ENSG00000214114"	NA	chr1	-	38873017	38873278	38873017	38873277	38873290	38873368	42	88,87,86	0,2,0	109,100,89	1,0,0	100	99	1	1.0	1.0,0.977,1.0	0.991,1.0,1.0	-0.005
43	"ENSG00000291141"	NA	chr1	+	121568146	121568201	121568181	121568201	121565763	121565797	43	103,101,99	1,2,3	58,52,65	2,1,1	134	99	0.915015642947	1.0	0.987,0.974,0.961	0.955,0.975,0.98	0.004
44	"ENSG00000159377"	NA	chr1	+	151399980	151401937	151400590	151401937	151399559	151399727	44	586,730,676	20,30,23	1333,1395,1359	10,21,18	709	99	2.69985158674e-08	4.0006891694419995e-07	0.804,0.773,0.804	0.949,0.903,0.913	-0.128
45	"ENSG00000169469"	NA	chr1	+	153032326	153032900	153032425	153032900	153031202	153031247	45	0,0,1	42,39,55	0,0,0	21,23,29	198	99	1	1.0	0.0,0.0,0.009	0.0,0.0,0.0	0.003
46	"ENSG00000237980"	NA	chr1	-	212653304	212654271	212653304	212653368	212664586	212664687	46	17,13,8	0,1,0	17,9,11	1,0,1	1002	99	1	1.0	1.0,0.562,1.0	0.627,1.0,0.521	0.138
47	"ENSG00000131697"	NA	chr1	-	5887285	5887466	5887285	5887296	5888459	5888610	47	0,2,0	15,14,12	0,7,7	2,6,6	269	99	3.79758981006e-06	4.421479564569857e-05	0.0,0.05,0.0	0.0,0.3,0.3	-0.183
48	"ENSG00000236040"	NA	chr1	+	111255315	111255444	111255411	111255444	111254332	111254431	48	2085,2011,1856	0,1,2	976,1081,1001	0,0,1	195	99	1	1.0	1.0,0.999,0.998	1.0,1.0,0.998	-0.0
49	"ENSG00000284674"	NA	chr1	+	4974837	4974945	4974901	4974945	4974294	4974381	49	89,90,68	0,1,1	72,67,83	2,1,1	163	99	0.612697687362	1.0	1.0,0.982,0.976	0.956,0.976,0.981	0.015
50	"ENSG00000291234"	NA	chr1	-	202857446	202858164	202857446	202857673	202858881	202859222	50	124,128,146	243,276,278	143,169,142	469,504,490	590	99	4.26627597254e-05	0.0003985231428891889	0.079,0.072,0.081	0.049,0.053,0.046	0.028
51	"ENSG00000231219"	NA	chr1	-	13273538	13274111	13273538	13273664	13275132	13275627	51	218,216,216	1,2,4	235,195,218	4,5,4	546	99	0.11198764205	0.3748868658492041	0.975,0.951,0.907	0.914,0.876,0.908	0.045
52	"ENSG00000263528"	NA	chr1	+	206491647	206491749	206491739	206491749	206490818	206490858	52	150,130,150	17,20,22	83,89,71	27,16,24	191	99	0.00270779649333	0.01919003601794739	0.821,0.771,0.779	0.614,0.742,0.605	0.137
53	"ENSG00000116218"	NA	chr1	-	179554475	179554531	179554475	179554521	179557026	179557230	53	6,7,13	2,2,0	16,13,19	1,2,1	109	99	0.51931028329	1.0	0.732,0.761,1.0	0.936,0.855,0.945	-0.081
54	"ENSG00000231666"	NA	chr1	-	158131982	158133193	158131982	158132695	158140497	158140680	54	408,367,331	17,12,10	184,219,178	47,28,28	597	99	2.81574763505e-12	5.737085806414375e-11	0.799,0.835,0.846	0.394,0.565,0.513	0.336
55	"ENSG00000286216"	NA	chr1	-	247341873	247342002	247341873	247341948	247347985	247348076	55	1,6,1	1,2,6	2,2,1	2,3,2	153	99	0.719114824757	1.0	0.393,0.66,0.097	0.393,0.301,0.244	0.071
56	"ENSG00000227050"	NA	chr1	-	27956008	27956092	27956008	27956090	27958852	27958940	56	0,1,0	50,47,42	0,1,1	36,47,31	101	99	1	1.0	0.0,0.02,0.0	0.0,0.02,0.031	-0.01
57	"ENSG00000143149"	NA	chr1	-	165662215	165663144	165662215	165662337	165665017	165665206	57	68,83,78	1,3,0	91,79,87	0,1,1	906	99	1	1.0	0.881,0.751,1.0	1.0,0.896,0.905	-0.056
58	"ENSG00000177606"	NA	chr1	-	58777519	58777631	58777519	58777618	58778560	58778717	58	33,27,28	4,6,5	31,29,31	8,5,2	112	99	0.775741679453	1.0	0.879,0.799,0.832	0.774,0.837,0.932	-0.011
59	"ENSG00000197568"	NA	chr1	+	70366443	70366537	70366518	70366537	70366145	70366328	59	2,4,3	1529,1656,1667	3,3,3	825,796,850	174	99	1	1.0	0.001,0.001,0.001	0.002,0.002,0.002	-0.001
60	"ENSG00000227733"	NA	chr1	-	148207838	148208654	148207838	148208188	148216038	148216305	60	62,71,66	51,56,49	47,29,28	55,48,36	565	99	0.00315630067224	0.02143654206563	0.176,0.182,0.191	0.13,0.096,0.12	0.068
61	"ENSG00000237480"	NA	chr1	+	106047625	106047774	106047736	106047774	106046553	106046664	61	329,330,338	24,23,17	330,291,307	42,51,48	210	99	4.21480213286e-07	5.284713443509077e-06	0.866,0.871,0.904	0.787,0.729,0.751	0.125
62	"ENSG00000198835"	NA	chr1	+	228157739	228159826	228157970	228159826	228149929	228150007	62	64,73,83	4,2,0	99,78,73	1,3,0	330	99	0.344181446723	0.9041877461887619	0.828,0.916,1.0	0.967,0.886,1.0	-0.036
63	"ENSG00000230402"	NA	chr1	-	100628824	100628942	100628824	100628915	100640488	100640613	63	0,0,1	103,72,81	1,0,1	68,105,83	126	99	1	1.0	0.0,0.0,0.01	0.011,0.0,0.009	-0.003
64	"ENSG00000224358"	NA	chr1	+	165773473	165775176	165773715	165775176	165768928	165769375	64	2011,2115,2007	56,50,55	4109,3925,4199	13,30,22	341	99	0	0.0	0.912,0.925,0.914	0.989,0.974,0.982	-0.065
65	"ENSG00000225826"	NA	chr1	+	168792330	168792886	168792431	168792886	168790071	168790330	65	22,6,9	414,436,423	6,8,4	917,791,881	200	99	0.193148996614	0.5523383587382807	0.026,0.007,0.01	0.003,0.005,0.002	0.011
67	"ENSG00000126705"	NA	chr1	-	27547260	27552189	27547260	27549318	27552495	27552929	67	4,2,2	189,171,178	18,7,18	94,87,100	2970	99	1	1.0	0.001,0.0,0.0	0.006,0.003,0.006	-0.005
68	"ENSG00000271425"	NA	chr1	-	146141603	146141818	146141603	146141692	146142649	146142752	68	8,16,13	823,817,872	16,16,10	1692,1664,1725	225	99	1	1.0	0.004,0.009,0.007	0.004,0.004,0.003	0.003
69	"ENSG00000011021"	NA	chr1	+	11819487	11819554	11819550	11819554	11816614	11816680	69	2,2,3	32,35,31	4,2,3	32,24,32	162	99	0.450835433247	1.0	0.037,0.034,0.056	0.071,0.048,0.054	-0.015
71	"ENSG00000236266"	NA	chr1	-	7810241	7810716	7810241	7810545	7811488	7811604	71	260,240,210	334,299,268	92,133,109	332,327,335	270	99	5.56221735337e-14	1.5110690476655168e-12	0.222,0.227,0.223	0.092,0.13,0.107	0.114
72	"ENSG00000233975"	NA	chr1	-	27662050	27662180	27662050	27662063	27662676	27662722	72	421,483,477	2,5,5	497,474,512	6,5,1	216	99	0.967941910873	1.0	0.99,0.978,0.978	0.974,0.978,0.996	-0.001
73	"ENSG00000143297"	NA	chr1	-	157527616	157528669	157527616	157527669	157531963	157534892	73	23,36,31	0,0,1	33,38,31	0,0,0	1099	99	1	1.0	1.0,1.0,0.736	1.0,1.0,1.0	-0.088
74	"ENSG00000159592"	NA	chr1	-	45629575	45629715	45629575	45629686	45630481	45630757	74	0,2,0	18,15,12	0,3,1	7,5,2	128	99	0.168278699258	0.4987168723464363	0.0,0.093,0.0	0.0,0.317,0.279	-0.168
75	"ENSG00000230285"	NA	chr1	+	85600580	85600734	85600582	85600734	85599130	85599231	75	417,416,417	1,3,4	415,447,434	14,7,2	101	99	0.0892017984031	0.33045211681148406	0.998,0.993,0.99	0.967,0.984,0.995	0.012
76	"ENSG00000157193"	NA	chr1	-	53295798	53296104	53295798	53295878	53312968	53313143	76	19,17,17	1,1,1	19,18,15	2,0,3	325	99	0.515550547846	1.0	0.853,0.838,0.838	0.743,1.0,0.604	0.061
77	"ENSG00000230714"	NA	chr1	+	218033572	218033660	218033619	218033660	218031834	218031961	77	87,104,103	1,1,1	71,63,91	1,1,1	146	99	1	1.0	0.983,0.986,0.986	0.98,0.977,0.984	0.005
78	"ENSG00000289576"	NA	chr1	-	28125262	28125592	28125262	28125462	28126547	28126939	78	120,146,120	9,13,14	143,127,136	26,15,33	229	99	0.00526216898616	0.031767909064595555	0.852,0.829,0.787	0.704,0.785,0.641	0.113
79	"ENSG00000253313"	NA	chr1	-	43281876	43283107	43281876	43282314	43283251	43283368	79	62,56,84	20,4,13	89,64,63	7,9,8	892	99	0.291626945166	0.7792654436402952	0.256,0.608,0.418	0.585,0.441,0.466	-0.07
80	"ENSG00000116698"	NA	chr1	+	183547102	183547252	183547209	183547252	183545965	183546337	80	85,94,99	1,1,0	77,83,89	0,2,1	206	99	0.93769679374	1.0	0.976,0.978,1.0	1.0,0.952,0.977	0.008
81	"ENSG00000135829"	NA	chr1	+	182881263	182881425	182881421	182881425	182880496	182880608	81	15,10,11	0,2,0	10,13,16	0,0,0	257	99	1	1.0	1.0,0.658,1.0	1.0,1.0,1.0	-0.114
82	"ENSG00000232622"	NA	chr1	-	84636157	84636258	84636157	84636161	84636960	84637106	82	325,252,363	237,237,271	297,384,265	237,270,207	196	99	0.641131948794	1.0	0.409,0.349,0.404	0.388,0.418,0.393	-0.012
83	"ENSG00000143374"	NA	chr1	+	150504905	150504978	150504953	150504978	150504631	150504733	83	1,4,1	5,6,4	3,1,2	11,11,7	147	99	0.509815702392	1.0	0.119,0.31,0.144	0.155,0.058,0.161	0.066
84	"ENSG00000198765"	NA	chr1	+	114923448	114923634	114923601	114923634	114913974	114914045	84	0,0,0	2,1,4	1,0,2	1,0,0	252	99	1	1.0	0.0,0.0,0.0	0.282,NA,1.0	-0.641
85	"ENSG00000230426"	NA	chr1	+	187641615	187643860	187641945	187643860	187641225	187641481	85	6,0,10	12,15,14	3,1,3	21,10,17	429	99	0.0283353075717	0.12154355616281842	0.103,0.0,0.142	0.032,0.023,0.039	0.05
87	"ENSG00000152092"	NA	chr1	-	176884338	176884490	176884338	176884393	176888070	176888204	87	16,23,18	0,1,0	21,16,17	1,0,0	196	99	1	1.0	1.0,0.921,1.0	0.914,1.0,1.0	0.002
88	"ENSG00000084072"	NA	chr1	+	39753286	39756769	39756565	39756769	39752909	39753266	88	28384,28330,27468	3,9,6	27358,28191,27571	3,5,3	3378	99	1	1.0	0.996,0.989,0.993	0.996,0.994,0.996	-0.003
89	"ENSG00000127125"	NA	chr1	+	42473121	42473385	42473146	42473385	42459602	42461236	89	38,41,46	131,140,141	34,39,28	132,136,133	124	99	0.268098705693	0.7283348171326499	0.188,0.19,0.207	0.171,0.186,0.144	0.028
90	"ENSG00000198758"	NA	chr1	-	109757943	109758058	109757943	109757988	109758315	109758455	90	1,0,2	67,56,64	1,1,4	79,70,65	169	99	0.664012988801	1.0	0.009,0.0,0.018	0.007,0.008,0.035	-0.008
91	"ENSG00000232100"	NA	chr1	+	218046133	218046253	218046190	218046253	218043504	218044597	91	1,2,1	0,0,0	0,0,1	1,0,0	156	99	1	1.0	1.0,1.0,1.0	0.0,NA,1.0	0.5
92	"ENSG00000135862"	NA	chr1	+	183124630	183124876	183124664	183124876	183122062	183122251	92	596,609,612	0,0,1	599,575,624	1,1,0	133	99	1	1.0	1.0,1.0,0.998	0.998,0.998,1.0	0.001
93	"ENSG00000290385"	NA	chr1	-	504469	505103	504469	504734	514358	514423	93	3,8,5	24,11,18	10,8,2	18,19,12	468	99	0.43434005767	1.0	0.026,0.133,0.055	0.105,0.082,0.034	-0.002
94	"ENSG00000116830"	NA	chr1	+	117079567	117079649	117079598	117079649	117077915	117078043	94	9,10,2	1022,963,931	8,9,6	936,931,948	130	99	1	1.0	0.007,0.008,0.002	0.006,0.007,0.005	-0.0
95	"ENSG00000116406"	NA	chr1	-	184702810	184703659	184702810	184703509	184706642	184706808	95	202,209,160	52,53,45	184,192,177	63,63,56	249	99	0.131614866367	0.42065143564354907	0.607,0.611,0.586	0.537,0.548,0.557	0.054
96	"ENSG00000162819"	NA	chr1	+	222715144	222715269	222715258	222715269	222713587	222713985	96	16,7,8	5,8,8	20,7,8	4,2,6	213	99	0.184364954986	0.5366337082628214	0.598,0.289,0.317	0.699,0.619,0.383	-0.166
97	"ENSG00000291158"	NA	chr1	+	149661301	149661606	149661305	149661606	149660853	149661089	97	15,11,11	2,1,4	6,6,9	3,4,5	103	99	0.0264413045849	0.11648466614428918	0.878,0.914,0.726	0.658,0.59,0.634	0.212
98	"ENSG00000067704"	NA	chr1	+	220125236	220125339	220125331	220125339	220114313	220114474	98	1,0,0	3,4,5	4,0,0	1,1,6	194	99	0.14825320009	0.4475050299012963	0.145,0.0,0.0	0.671,0.0,0.0	-0.175
99	"ENSG00000237352"	NA	chr1	+	59020365	59020623	59020385	59020623	58953858	58953919	99	37,33,23	19,25,18	24,30,19	23,25,24	119	99	0.121717018087	0.39679747896362	0.618,0.523,0.515	0.465,0.5,0.397	0.098
100	"ENSG00000066056"	NA	chr1	+	43321268	43321309	43321292	43321309	43319234	43320880	100	0,0,1	847,874,885	0,0,0	494,446,437	123	99	1	1.0	0.0,0.0,0.001	0.0,0.0,0.0	0.0
101	"ENSG00000134242"	NA	chr1	-	113859001	113859078	113859001	113859065	113859351	113859460	101	23615,23520,23619	2,2,1	46625,47315,46435	0,0,3	112	99	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
102	"ENSG00000196187"	NA	chr1	-	225866573	225866748	225866573	225866653	225867111	225867163	102	28,28,23	1,0,1	18,27,29	0,3,4	194	99	0.00646139146659	0.035106893635139	0.935,1.0,0.921	1.0,0.821,0.787	0.083
104	"ENSG00000075151"	NA	chr1	-	20973001	20973099	20973001	20973097	20980333	20980448	104	15,13,10	4,2,1	22,26,33	0,0,1	101	99	0.000663741498784	0.0054094932150896	0.786,0.864,0.907	1.0,1.0,0.97	-0.138
105	"ENSG00000078369"	NA	chr1	-	1889963	1890091	1889963	1889979	1890187	1890493	105	4272,4242,4050	278,298,275	4138,4069,4180	274,267,291	211	99	0.935727709326	1.0	0.878,0.87,0.874	0.876,0.877,0.871	-0.001
106	"ENSG00000158195"	NA	chr1	-	27418953	27419088	27418953	27419074	27428760	27428933	106	13,21,16	11,11,9	20,20,33	21,14,10	113	99	0.95634996949	1.0	0.509,0.626,0.609	0.455,0.556,0.743	-0.003
108	"ENSG00000225755"	NA	chr1	+	163237711	163238043	163237715	163238043	163237213	163237366	108	0,0,0	1,0,1	0,1,4	0,1,0	103	99	1	1.0	0.0,NA,0.0	NA,0.49,1.0	-0.745
109	"ENSG00000162618"	NA	chr1	-	79161334	79161382	79161334	79161376	79188342	79188483	109	12,8,11	9,9,8	11,10,13	7,13,9	105	99	0.963215213237	1.0	0.557,0.456,0.565	0.597,0.42,0.577	-0.005
110	"ENSG00000116852"	NA	chr1	-	200991656	200991725	200991656	200991708	200992281	200992389	110	109,113,141	1,6,1	270,226,248	0,2,1	116	99	0.35716560572	0.909656152068125	0.989,0.941,0.992	1.0,0.99,0.995	-0.021
111	"ENSG00000286496"	NA	chr1	+	241357822	241361598	241359728	241361598	241357342	241357482	111	107,143,167	15,3,13	56,55,117	14,11,10	2005	99	0.0547458353925	0.21764807729213415	0.26,0.702,0.388	0.165,0.198,0.366	0.207
112	"ENSG00000134697"	NA	chr1	-	37582777	37583346	37582777	37583295	37583866	37583933	112	61,66,69	13,10,13	87,95,73	13,11,10	150	99	0.237477600347	0.6560821840095085	0.756,0.813,0.778	0.815,0.851,0.828	-0.049
113	"ENSG00000162753"	NA	chr1	-	173548388	173548552	173548388	173548525	173554732	173554814	113	277,340,313	1,0,2	674,617,628	0,0,2	126	99	1	1.0	0.995,1.0,0.992	1.0,1.0,0.996	-0.003
114	"ENSG00000248333"	NA	chr1	-	1636332	1636481	1636332	1636354	1636681	1636798	114	63,36,52	304,265,310	44,46,60	295,293,303	226	99	0.918692502789	1.0	0.083,0.056,0.068	0.061,0.064,0.08	0.001
115	"ENSG00000116748"	NA	chr1	-	114677909	114678041	114677909	114677959	114678332	114678527	115	21,23,17	0,1,1	15,33,43	0,1,0	181	99	1	1.0	1.0,0.926,0.903	1.0,0.948,1.0	-0.04
116	"ENSG00000143199"	NA	chr1	-	167824475	167824572	167824475	167824527	167824650	167824855	116	716,759,714	1,2,0	686,709,714	2,3,2	144	99	1	1.0	0.998,0.996,1.0	0.996,0.994,0.996	0.003
117	"ENSG00000127463"	NA	chr1	-	19227312	19228190	19227312	19227475	19229354	19229554	117	92,79,65	4,2,2	88,101,95	1,6,4	814	99	0.811965043844	1.0	0.737,0.828,0.798	0.915,0.672,0.743	0.011
119	"ENSG00000142634"	NA	chr1	+	15428592	15430339	15429249	15430339	15427897	15428009	119	177,232,194	1,0,0	209,214,225	0,0,0	756	99	1	1.0	0.959,1.0,1.0	1.0,1.0,1.0	-0.014
121	"ENSG00000284696"	NA	chr1	-	50265741	50266589	50265741	50266520	50280034	50280175	121	873,926,896	0,0,0	423,503,460	0,2,1	168	99	1	1.0	1.0,1.0,1.0	1.0,0.993,0.996	0.004
122	"ENSG00000142864"	NA	chr1	-	67424199	67424414	67424199	67424413	67424887	67424977	122	52,47,45	4,9,1	90,100,78	1,3,2	100	99	0.00156062824792	0.011562836564134545	0.928,0.838,0.978	0.989,0.971,0.975	-0.064
123	"ENSG00000065243"	NA	chr1	+	88771662	88771879	88771688	88771879	88771420	88771566	123	310,277,288	8,7,4	563,561,635	0,2,3	125	99	0.00549717877793	0.0320014336000925	0.968,0.969,0.983	1.0,0.996,0.994	-0.023
124	"ENSG00000054523"	NA	chr1	+	10261904	10261970	10261931	10261970	10260087	10260230	124	0,2,1	6,7,7	1,2,2	2,4,3	126	99	0.0339719309366	0.1419852498119436	0.0,0.183,0.101	0.282,0.282,0.344	-0.208
125	"ENSG00000143127"	NA	chr1	-	145900056	145900187	145900056	145900095	145900789	145900993	125	239,249,265	6,15,21	496,522,591	5,7,9	191	99	1.14895927328e-07	1.5606696795386665e-06	0.954,0.896,0.867	0.981,0.975,0.971	-0.07
127	"ENSG00000116675"	NA	chr1	+	65366047	65366196	65366182	65366196	65365884	65365934	127	1109,1069,1142	1,1,0	2344,2276,2190	2,0,1	234	99	1	1.0	0.998,0.998,1.0	0.998,1.0,0.999	-0.0
128	"ENSG00000231718"	NA	chr1	+	199161422	199161485	199161468	199161485	199148597	199148737	128	10,9,2	122,88,107	5,3,4	213,211,208	145	99	0.00074073678098	0.005749528347606667	0.053,0.065,0.013	0.016,0.01,0.013	0.031
129	"ENSG00000228918"	NA	chr1	-	182243123	182243196	182243123	182243156	182244354	182244399	129	1,0,1	0,0,0	0,0,0	1,0,0	139	99	1	1.0	1.0,NA,1.0	0.0,NA,NA	1.0
130	"ENSG00000085999"	NA	chr1	+	46267458	46267609	46267561	46267609	46261260	46261385	130	5,5,7	1,0,0	10,10,15	0,0,0	202	99	1	1.0	0.71,1.0,1.0	1.0,1.0,1.0	-0.097
