ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
24	"ENSG00000116882"	NA	chr1	+	119392109	119392268	119386621	119386831	119392438	119392687	24	21,29,13	142,128,157	35,35,30	67,76,68	258	99	2.75186218257e-09	3.077082258691909e-08	0.054,0.08,0.031	0.167,0.15,0.145	-0.099
25	"ENSG00000197956"	NA	chr1	-	153535092	153535375	153534598	153534830	153535788	153536244	25	124,135,121	95,124,115	225,262,266	54,40,82	382	99	7.57172102794e-14	1.5522028107276997e-12	0.253,0.22,0.214	0.519,0.629,0.457	-0.306
27	"ENSG00000075391"	NA	chr1	+	178465919	178466122	178464277	178464412	178467333	178467421	27	161,146,160	0,0,0	309,288,280	0,0,1	302	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.989	0.004
28	"ENSG00000157193"	NA	chr1	-	53251675	53252537	53250689	53250862	53254910	53254957	28	52,38,63	2,1,0	78,51,55	2,0,1	961	99	0.668698639807	1.0	0.728,0.797,1.0	0.801,1.0,0.85	-0.042
30	"ENSG00000287582"	NA	chr1	+	54516483	54516656	54514416	54514947	54517036	54517383	30	10,16,2	1,0,2	1,6,2	0,1,0	272	99	0.33618035698	0.8353572506775757	0.784,1.0,0.267	1.0,0.686,1.0	-0.212
31	"ENSG00000143669"	NA	chr1	-	235872334	235873029	235866842	235866925	235883186	235883724	31	34,32,31	139,138,112	60,53,50	75,65,66	794	99	2.28950192138e-11	3.1289859592193335e-10	0.03,0.028,0.033	0.091,0.092,0.086	-0.059
32	"ENSG00000173409"	NA	chr1	+	230990109	230990263	230988319	230988439	230990599	230990698	32	170,211,196	2,2,3	228,200,227	2,3,2	253	99	0.859111614223	1.0	0.971,0.976,0.962	0.978,0.963,0.978	-0.003
33	"ENSG00000116580"	NA	chr1	-	155820605	155820656	155815804	155816262	155821473	155821548	33	14,17,18	1,1,2	16,20,16	0,0,0	150	99	0.0499210680364	0.17571494945742855	0.902,0.918,0.856	1.0,1.0,1.0	-0.108
34	"ENSG00000227925"	NA	chr1	-	221840307	221840453	221834205	221834346	221840535	221840717	34	160,199,199	5,2,1	83,88,85	2,6,3	245	99	0.0272726345482	0.10649314442630477	0.928,0.976,0.988	0.944,0.856,0.92	0.057
35	"ENSG00000271383"	NA	chr1	+	149477944	149478047	149475044	149476107	149478879	149479094	35	1079,1059,1036	383,388,374	504,541,542	668,677,672	202	99	0	0.0	0.58,0.572,0.576	0.27,0.281,0.283	0.298
36	"ENSG00000286185"	NA	chr1	+	149486129	149486293	149482174	149482226	149487331	149487383	36	732,1324,830	0,0,0	614,566,686	1,2,0	263	99	1	1.0	1.0,1.0,1.0	0.996,0.991,1.0	0.004
37	"ENSG00000271383"	NA	chr1	+	149542734	149542786	149541852	149542025	149543412	149543585	37	1,3,3	166,142,137	1,1,2	277,301,302	151	99	1	1.0	0.004,0.014,0.014	0.002,0.002,0.004	0.008
38	"ENSG00000271383"	NA	chr1	+	149543412	149543585	149542734	149542786	149544299	149544408	38	1,3,3	25,39,47	1,1,2	8,14,22	272	99	0.660261701405	1.0	0.014,0.027,0.023	0.044,0.025,0.032	-0.012
39	"ENSG00000271383"	NA	chr1	+	149550666	149550718	149549774	149549947	149551326	149551499	39	0,1,0	140,153,136	0,0,0	276,279,261	151	99	1	1.0	0.0,0.004,0.0	0.0,0.0,0.0	0.001
40	"ENSG00000283761"	NA	chr1	+	100015301	100015420	100011364	100011533	100017681	100017815	40	3,5,2	3,0,2	5,6,5	1,2,3	218	99	0.794864345361	1.0	0.312,1.0,0.312	0.694,0.577,0.431	-0.026
41	"ENSG00000132196"	NA	chr1	+	162800212	162800314	162797801	162799937	162802831	162803535	41	49,43,56	13,6,13	106,110,98	6,3,3	201	99	3.09300692725e-07	2.717427514655357e-06	0.65,0.779,0.68	0.897,0.948,0.941	-0.226
42	"ENSG00000135842"	NA	chr1	-	184818637	184818825	184808073	184808235	184823166	184823329	42	1,3,6	39,30,33	9,6,0	38,36,45	287	99	0.466907058133	1.0	0.009,0.033,0.059	0.076,0.054,0.0	-0.01
43	"ENSG00000117395"	NA	chr1	-	43194683	43194949	43181681	43181784	43206345	43206392	43	5,3,7	12722,13118,14312	18,17,11	7190,6435,6452	365	99	1	1.0	0.0,0.0,0.0	0.001,0.001,0.0	-0.001
44	"ENSG00000116698"	NA	chr1	+	183548940	183549288	183547102	183547252	183549763	183550088	44	204,189,196	0,3,0	210,207,183	0,3,0	447	99	1	1.0	1.0,0.933,1.0	1.0,0.939,1.0	-0.002
45	"ENSG00000152763"	NA	chr1	-	66860712	66860839	66847923	66848311	66862146	66862304	45	28672,28583,28227	118,101,121	57152,56973,56735	52,61,65	226	99	1	1.0	0.991,0.992,0.99	0.998,0.998,0.997	-0.007
46	"ENSG00000135829"	NA	chr1	+	182883138	182883368	182881519	182881647	182883519	182883635	46	9,10,12	0,3,0	12,11,12	0,0,0	329	99	0.345976563617	0.8428971187530298	1.0,0.501,1.0	1.0,1.0,1.0	-0.166
47	"ENSG00000143374"	NA	chr1	+	150491989	150492489	150491588	150491718	150496481	150496628	47	4,12,5	11,20,16	10,11,6	10,11,10	599	99	0.0772094736212	0.253247073477536	0.057,0.09,0.049	0.142,0.142,0.09	-0.059
49	"ENSG00000137968"	NA	chr1	-	75213704	75213793	75211467	75211552	75213918	75213989	49	1,2,0	0,1,1	1,0,0	1,0,0	188	99	1	1.0	1.0,0.513,0.0	0.345,NA,NA	0.159
50	"ENSG00000286185"	NA	chr1	+	149463490	149463826	149455317	149455577	149475640	149476107	50	163,154,146	0,172,160	157,155,135	348,291,348	435	99	0.0019131246015	0.009604666366714285	1.0,0.169,0.172	0.093,0.108,0.081	0.353
52	"ENSG00000230426"	NA	chr1	+	187470070	187470192	187466918	187467109	187477019	187477220	52	2,1,5	14,16,19	1,1,0	18,14,20	221	99	0.0124778437941	0.053851746900852634	0.06,0.027,0.105	0.024,0.031,0.0	0.046
53	"ENSG00000268043"	NA	chr1	+	146946554	146946607	146943290	146943562	146949323	146949422	53	3,1,6	0,0,0	1,0,2	0,1,0	152	99	1	1.0	1.0,1.0,1.0	1.0,0.0,1.0	0.333
54	"ENSG00000268043"	NA	chr1	+	146960108	146960318	146959858	146960006	146962160	146962263	54	1,0,1	1,0,2	1,1,1	0,0,2	309	99	1	1.0	0.243,NA,0.138	1.0,1.0,0.138	-0.522
55	"ENSG00000268043"	NA	chr1	+	146971182	146971394	146970646	146970719	146972750	146972960	55	1,1,3	0,0,1	2,0,3	0,1,0	311	99	1	1.0	1.0,1.0,0.488	1.0,0.0,1.0	0.163
56	"ENSG00000268043"	NA	chr1	+	146972750	146972960	146971182	146971394	146974738	146974841	56	2,0,4	1,0,0	3,2,2	1,0,0	309	99	1	1.0	0.391,NA,1.0	0.49,1.0,1.0	-0.135
57	"ENSG00000268043"	NA	chr1	+	146978958	146979010	146977465	146977671	146982927	146983091	57	2,3,2	0,1,0	5,2,0	1,0,0	151	99	1	1.0	1.0,0.663,1.0	0.766,1.0,NA	0.005
58	"ENSG00000268043"	NA	chr1	+	146986351	146986524	146985704	146985756	146987953	146988126	58	2,0,0	0,1,0	2,0,1	2,0,0	272	99	1	1.0	1.0,0.0,NA	0.267,NA,1.0	-0.133
59	"ENSG00000268043"	NA	chr1	+	146987233	146987285	146986351	146986524	146987953	146988126	59	1,1,0	0,0,0	0,0,3	1,0,1	151	99	1	1.0	1.0,1.0,NA	0.0,NA,0.663	0.668
60	"ENSG00000268043"	NA	chr1	+	146989573	146989746	146988840	146988949	146991112	146991285	60	7,6,11	0,3,0	32,6,5	1,1,0	272	99	0.367096419551	0.8767545554324854	1.0,0.421,1.0	0.921,0.686,1.0	-0.062
61	"ENSG00000268043"	NA	chr1	+	146989573	146989746	146988840	146988949	146992711	146992884	61	7,6,10	2,1,0	27,4,3	5,0,4	272	99	0.0896290806911	0.2756094231251325	0.56,0.686,1.0	0.663,1.0,0.214	0.123
62	"ENSG00000268043"	NA	chr1	+	146990465	146990517	146989573	146989746	146991112	146991285	62	6,3,7	0,0,1	6,1,1	8,2,2	151	99	2.71334873458e-08	2.5672453411795386e-07	1.0,1.0,0.821	0.33,0.247,0.247	0.666
63	"ENSG00000268043"	NA	chr1	+	146990465	146990517	146989573	146989746	146992711	146992884	63	3,2,1	0,0,0	4,1,0	3,0,0	151	99	1	1.0	1.0,1.0,1.0	0.466,1.0,NA	0.267
64	"ENSG00000234614"	NA	chr1	+	151844044	151844242	151841876	151842031	151850232	151850385	64	242,232,259	178,147,144	316,290,265	319,309,312	297	99	2.30618328656e-06	1.830068027399226e-05	0.312,0.345,0.375	0.248,0.238,0.221	0.108
65	"ENSG00000160789"	NA	chr1	+	156104764	156104917	156099033	156099046	156106657	156106823	65	113,142,108	1674,1623,1681	132,124,123	1699,1679,1634	252	99	0.75591954214	1.0	0.026,0.033,0.025	0.03,0.028,0.029	-0.001
66	"ENSG00000270882"	NA	chr1	+	149834134	149834631	149832656	149833864	149839594	149839767	66	0,0,0	6257,6326,6321	5,0,0	3,6313,6234	596	99	0.488011495216	1.0	0.0,0.0,0.0	0.217,0.0,0.0	-0.072
67	"ENSG00000152092"	NA	chr1	-	177023403	177023571	177014790	177014875	177024582	177024732	67	21,25,19	2,0,2	24,24,29	0,0,1	267	99	0.153410381571	0.43882504495890706	0.796,1.0,0.779	1.0,1.0,0.915	-0.113
68	"ENSG00000084072"	NA	chr1	+	39761198	39761373	39753286	39756769	39762317	39762407	68	2059,2036,2077	9,4,2	1915,2081,2030	2,4,3	274	99	1	1.0	0.988,0.995,0.997	0.997,0.995,0.996	-0.003
69	"ENSG00000159423"	NA	chr1	-	18881699	18881887	18879299	18879373	18882559	18882672	69	149,169,132	0,0,0	112,125,158	2,0,1	287	99	1	1.0	1.0,1.0,1.0	0.951,1.0,0.982	0.022
70	"ENSG00000213047"	NA	chr1	-	197658299	197658369	197652234	197652315	197672036	197672156	70	12,29,33	19,23,20	31,28,13	22,25,23	169	99	0.674725318507	1.0	0.27,0.425,0.491	0.452,0.396,0.249	0.03
71	"ENSG00000162852"	NA	chr1	+	246660198	246660334	246647138	246648243	246665699	246668595	71	3,11,9	122,133,154	7,12,4	114,115,149	235	99	0.831407528409	1.0	0.01,0.034,0.024	0.025,0.042,0.011	-0.003
72	"ENSG00000198758"	NA	chr1	-	109757801	109757863	109757480	109757555	109757943	109758058	72	2,0,2	67,71,68	1,1,2	76,66,65	161	99	1	1.0	0.018,0.0,0.018	0.008,0.009,0.019	-0.0
73	"ENSG00000135862"	NA	chr1	+	183108275	183108406	183103327	183103632	183110487	183110654	73	1022,1041,1018	0,0,1	1017,963,1035	0,0,2	230	99	1	1.0	1.0,1.0,0.998	1.0,1.0,0.996	0.001
75	"ENSG00000196427"	NA	chr1	-	108235235	108235287	108234241	108234411	108236269	108236409	75	7,0,5	0,1,0	4,4,2	1,0,2	151	99	0.456153527374	1.0	1.0,0.0,1.0	0.724,1.0,0.396	-0.04
76	"ENSG00000274423"	NA	chr1	+	149354095	149354242	149351250	149351411	149357457	149357612	76	137,128,56	662,626,560	109,100,96	597,581,672	246	99	0.807810481053	1.0	0.077,0.076,0.039	0.068,0.065,0.054	0.002
77	"ENSG00000185495"	NA	chr1	+	224002521	224002622	223995894	223996001	224003519	224003654	77	2,1,1	1,0,0	0,1,1	0,0,0	200	99	1	1.0	0.497,1.0,1.0	NA,1.0,1.0	-0.168
78	"ENSG00000237993"	NA	chr1	-	116015120	116015300	116013812	116014083	116017451	116017705	78	1827,1746,1653	824,802,819	1630,1713,1766	750,743,658	279	99	0.231233984024	0.6051442560628085	0.44,0.436,0.417	0.435,0.45,0.488	-0.027
79	"ENSG00000185630"	NA	chr1	+	164792368	164792738	164787642	164787753	164799698	164799889	79	6,8,6	0,0,2	3,6,11	2,0,0	469	99	0.80933571598	1.0	1.0,1.0,0.388	0.24,1.0,1.0	0.049
80	"ENSG00000116830"	NA	chr1	+	117081827	117081947	117079567	117079649	117084017	117084168	80	8,14,10	975,940,967	10,7,8	992,943,914	219	99	1	1.0	0.004,0.007,0.005	0.005,0.003,0.004	0.001
81	"ENSG00000116406"	NA	chr1	-	184737610	184737736	184736949	184737064	184744634	184746749	81	174,172,132	52,54,59	170,154,167	43,69,61	225	99	0.963495453185	1.0	0.596,0.584,0.496	0.635,0.495,0.546	0.0
82	"ENSG00000162819"	NA	chr1	+	222715683	222715800	222715144	222715269	222717857	222718094	82	16,6,8	4,8,8	19,8,10	4,2,6	216	99	0.149898095742	0.4338227241474353	0.647,0.256,0.314	0.685,0.647,0.433	-0.183
84	"ENSG00000092621"	NA	chr1	+	119737113	119737266	119735294	119735443	119739461	119740518	84	417,392,354	303,324,291	807,784,846	148,157,136	252	99	0	0.0	0.351,0.322,0.323	0.682,0.662,0.71	-0.353
85	"ENSG00000027644"	NA	chr1	-	156848920	156849047	156846518	156846757	156849245	156849460	85	9,5,4	105,105,117	15,9,7	58,42,56	226	99	4.98370528792e-05	0.00034055319467453333	0.036,0.02,0.015	0.102,0.086,0.052	-0.056
87	"ENSG00000237352"	NA	chr1	+	59184430	59184580	59149900	59150550	59201366	59201458	87	60,54,59	20,24,37	56,60,57	22,23,24	249	99	0.515456983821	1.0	0.544,0.472,0.388	0.503,0.509,0.486	-0.031
88	"ENSG00000066056"	NA	chr1	+	43306839	43306995	43304850	43305343	43307141	43307273	88	1,0,1	869,922,862	0,4,0	453,448,465	255	99	1	1.0	0.0,0.0,0.0	0.0,0.003,0.0	-0.001
89	"ENSG00000134242"	NA	chr1	-	113858477	113858573	113857737	113857776	113859001	113859078	89	40727,40940,40659	1,0,0	81328,81234,81131	0,0,2	195	99	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
90	"ENSG00000196187"	NA	chr1	-	225848896	225849012	225848491	225848554	225849911	225850079	90	26,40,42	1,0,3	18,38,24	2,0,0	215	99	0.664934995593	1.0	0.923,1.0,0.866	0.806,1.0,1.0	-0.006
92	"ENSG00000075151"	NA	chr1	-	20847805	20847943	20840855	20841028	20849414	20849530	92	26,33,32	2,1,0	57,63,60	1,0,2	237	99	0.378740119747	0.878962919412849	0.844,0.932,1.0	0.96,1.0,0.926	-0.037
93	"ENSG00000158966"	NA	chr1	+	64563676	64563844	64550593	64550656	64582155	64582304	93	0,0,0	36,25,26	0,0,1	25,25,24	267	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.015	-0.005
94	"ENSG00000159445"	NA	chr1	-	151888272	151888383	151877000	151877125	151889213	151889750	94	12270,12199,12336	56,65,64	12284,12245,12477	71,80,79	210	99	0.108336506092	0.3290219814645926	0.99,0.989,0.989	0.988,0.986,0.987	0.002
95	"ENSG00000228060"	NA	chr1	+	39566582	39566674	39565051	39565219	39570479	39570623	95	0,3,2	0,2,7	1,4,1	6,7,8	191	99	1	1.0	NA,0.437,0.129	0.08,0.229,0.061	0.16
96	"ENSG00000078369"	NA	chr1	-	1806474	1806538	1804418	1804581	1815755	1815862	96	3104,3069,3109	302,300,312	3101,3139,2996	291,308,296	163	99	0.873350379443	1.0	0.862,0.861,0.858	0.866,0.861,0.86	-0.002
98	"ENSG00000116984"	NA	chr1	+	236897557	236903981	236897005	236897118	236907044	236907206	98	397,407,352	11,14,10	833,747,747	9,3,9	6523	99	0.000165231254174	0.001069654961231684	0.354,0.306,0.348	0.584,0.791,0.557	-0.308
99	"ENSG00000162618"	NA	chr1	-	78946273	78946426	78939187	78939258	79005069	79005219	99	37,21,29	9,15,21	18,27,33	11,18,15	252	99	0.776187289497	1.0	0.618,0.355,0.352	0.391,0.371,0.464	0.033
101	"ENSG00000116852"	NA	chr1	-	201000716	201000780	201000389	201000608	201001406	201003781	101	196,173,174	0,6,1	348,323,347	0,1,2	163	99	0.722425047161	1.0	1.0,0.946,0.991	1.0,0.995,0.991	-0.016
102	"ENSG00000134697"	NA	chr1	-	37574342	37574456	37568850	37570893	37574664	37574823	102	89,94,73	10,9,14	100,121,97	8,9,7	213	99	0.0652524435425	0.22294584877020832	0.805,0.829,0.708	0.853,0.862,0.866	-0.08
103	"ENSG00000069702"	NA	chr1	-	91786185	91786227	91783205	91783264	91797286	91797471	103	2,2,6	7430,7302,7469	5,5,2	3638,3627,3690	141	99	1	1.0	0.0,0.0,0.001	0.001,0.001,0.0	-0.0
104	"ENSG00000162753"	NA	chr1	-	173597903	173598032	173596417	173596678	173600116	173600217	104	535,541,588	1,2,0	1098,1173,1101	0,0,0	228	99	1	1.0	0.996,0.992,1.0	1.0,1.0,1.0	-0.004
105	"ENSG00000234775"	NA	chr1	-	203127806	203128045	203127258	203127490	203128222	203128367	105	640,598,663	1,1,1	636,596,510	2,1,2	338	99	1	1.0	0.995,0.994,0.995	0.989,0.994,0.987	0.005
107	"ENSG00000248333"	NA	chr1	-	1635936	1636126	1635224	1635856	1636332	1636481	107	33,12,22	311,268,288	22,20,26	276,282,305	289	99	0.928338361246	1.0	0.035,0.015,0.026	0.027,0.024,0.028	-0.001
108	"ENSG00000248333"	NA	chr1	-	1641047	1641113	1640276	1640452	1641661	1641820	108	0,0,1	128,8,145	2,2,1	5,151,162	165	99	1	1.0	0.0,0.0,0.004	0.194,0.008,0.004	-0.067
109	"ENSG00000116748"	NA	chr1	-	114686744	114686999	114684443	114684489	114688560	114688741	109	37,42,33	0,0,0	45,38,77	0,0,1	354	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.956	0.015
110	"ENSG00000143199"	NA	chr1	-	167883436	167883628	167880490	167880609	167893852	167893941	110	1421,1513,1459	0,1,2	1439,1366,1389	1,3,3	291	99	1	1.0	1.0,0.998,0.996	0.998,0.994,0.994	0.003
111	"ENSG00000127463"	NA	chr1	-	19234179	19234308	19232935	19233135	19235129	19235252	111	23,14,16	11,12,8	22,29,19	5,2,8	228	99	0.0171530898953	0.07032766857073	0.476,0.336,0.465	0.656,0.863,0.508	-0.25
112	"ENSG00000183814"	NA	chr1	-	226266212	226266332	226265532	226265634	226267956	226268090	112	28,28,28	0,0,0	30,21,28	1,0,0	219	99	1	1.0	1.0,1.0,1.0	0.931,1.0,1.0	0.023
113	"ENSG00000157077"	NA	chr1	+	52237487	52239595	52233170	52233276	52263772	52264047	113	295,341,313	0,1,0	327,306,268	0,0,2	2207	99	1	1.0	1.0,0.939,1.0	1.0,1.0,0.857	0.027
115	"ENSG00000135837"	NA	chr1	+	180054414	180054502	180053255	180053934	180062219	180062366	115	3,2,3	0,1,0	7,5,9	0,0,0	187	99	1	1.0	1.0,0.514,1.0	1.0,1.0,1.0	-0.162
116	"ENSG00000117461"	NA	chr1	-	46045917	46046088	46040139	46043871	46046550	46046625	116	42,44,34	2,2,1	40,30,25	1,4,1	270	99	0.784179696333	1.0	0.885,0.89,0.926	0.936,0.733,0.902	0.043
117	"ENSG00000143847"	NA	chr1	+	203062958	203064003	203061365	203061678	203067444	203067792	117	2217,2280,2152	0,0,0	2237,2198,2111	0,0,1	1144	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.995	0.002
118	"ENSG00000254154"	NA	chr1	-	177932697	177932809	177932489	177932569	177933213	177933312	118	25,29,20	34,39,27	12,16,21	29,35,21	211	99	0.335264156496	0.8353572506775757	0.257,0.259,0.258	0.163,0.177,0.319	0.038
119	"ENSG00000143476"	NA	chr1	+	212044659	212044758	212042992	212043118	212047150	212047212	119	4209,4346,4164	14,19,16	4312,4114,4364	12,17,28	198	99	0.912959897131	1.0	0.993,0.991,0.992	0.994,0.992,0.987	0.001
120	"ENSG00000065243"	NA	chr1	+	88770351	88770469	88760221	88760376	88771420	88771566	120	514,454,504	6,6,8	966,959,1011	3,2,0	217	99	0.00161302262982	0.0088110404373	0.975,0.972,0.966	0.993,0.995,1.0	-0.025
121	"ENSG00000173212"	NA	chr1	+	116123872	116123899	116120931	116121072	116124065	116124357	121	12,8,16	3,5,3	13,9,8	5,5,3	126	99	0.466309894352	1.0	0.759,0.557,0.807	0.671,0.586,0.677	0.063
122	"ENSG00000054523"	NA	chr1	+	10352630	10352736	10348648	10348733	10355369	10355396	122	0,0,0	6,5,5	3,2,2	0,1,4	205	99	6.38587477559e-05	0.0004245743769716595	0.0,0.0,0.0	1.0,0.491,0.194	-0.562
123	"ENSG00000143127"	NA	chr1	-	145896267	145896352	145895982	145896096	145896768	145896858	123	241,271,238	10,8,7	553,470,481	4,5,6	184	99	0.000303083865765	0.0019117597686715386	0.928,0.948,0.948	0.987,0.981,0.977	-0.04
125	"ENSG00000116675"	NA	chr1	+	65379401	65379788	65366047	65366196	65384085	65384326	125	2241,2233,2369	1,2,0	4701,4624,4677	2,0,1	486	99	1	1.0	0.998,0.996,1.0	0.998,1.0,0.999	-0.001
126	"ENSG00000143036"	NA	chr1	+	94824492	94824635	94820948	94821056	94825832	94825942	126	199,151,167	125,157,167	377,333,364	72,77,79	242	99	0	0.0	0.394,0.282,0.29	0.682,0.639,0.653	-0.336
127	"ENSG00000174502"	NA	chr1	-	205923081	205923195	205921565	205921847	205923334	205923427	127	51,32,36	104,106,90	101,107,86	54,65,59	213	99	0	0.0	0.186,0.123,0.157	0.465,0.433,0.404	-0.279
129	"ENSG00000228918"	NA	chr1	-	182258009	182258082	182244354	182244399	182278253	182278413	129	2,0,0	0,0,0	0,0,0	1,0,0	172	99	1	1.0	1.0,NA,NA	0.0,NA,NA	1.0
130	"ENSG00000085999"	NA	chr1	+	46259963	46260161	46258685	46258746	46260541	46260611	130	4,1,13	0,0,0	21,15,17	0,1,0	297	99	1	1.0	1.0,1.0,1.0	1.0,0.833,1.0	0.056
131	"ENSG00000116793"	NA	chr1	-	113738729	113738799	113738109	113738268	113749521	113749589	131	10,12,18	451,401,366	20,23,28	212,219,222	169	99	2.46518258029e-08	2.42573965900536e-07	0.013,0.017,0.028	0.052,0.058,0.069	-0.04
133	"ENSG00000258465"	NA	chr1	-	160222650	160222781	160218848	160218968	160224441	160224549	133	2358,2229,2384	5,8,4	2363,2324,2248	18,17,15	230	99	0.0130766017775	0.0554628282287069	0.995,0.992,0.996	0.983,0.983,0.985	0.011
134	"ENSG00000244703"	NA	chr1	+	207653078	207653181	207652546	207652735	207655189	207655275	134	92,88,59	505,523,499	83,106,84	1026,1054,1035	202	99	4.59797426455e-06	3.427580815391818e-05	0.082,0.076,0.055	0.038,0.047,0.038	0.03
