ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
110	"ENSG00000152904"	NA	chr1	+	235328569	235329429	235328569	235328778	235329028	235329429
111	"ENSG00000075151"	NA	chr1	-	21064530	21064991	21064530	21064645	21064759	21064991
112	"ENSG00000185499"	NA	chr1	-	155191862	155192916	155191862	155192310	155192785	155192916
113	"ENSG00000078369"	NA	chr1	-	1832231	1834127	1832231	1832482	1833839	1834127
114	"ENSG00000090686"	NA	chr1	-	21748137	21751615	21748137	21748271	21751506	21751615
115	"ENSG00000065600"	NA	chr1	-	212410125	212410521	212410125	212410164	212410424	212410521
116	"ENSG00000117411"	NA	chr1	+	43979876	43981473	43979876	43980614	43981108	43981473
117	"ENSG00000162618"	NA	chr1	-	78938099	78939258	78938099	78938279	78939187	78939258
118	"ENSG00000198160"	NA	chr1	+	66963087	66970959	66963087	66963160	66970807	66970959
119	"ENSG00000116852"	NA	chr1	-	200986843	200987201	200986843	200986918	200986995	200987201
120	"ENSG00000134697"	NA	chr1	-	37574664	37575699	37574664	37574823	37575594	37575699
121	"ENSG00000162753"	NA	chr1	-	173557339	173571728	173557339	173557508	173571501	173571728
122	"ENSG00000287076"	NA	chr1	+	90719575	90725620	90719575	90719706	90723125	90725620
123	"ENSG00000137936"	NA	chr1	-	93752923	93775444	93752923	93754346	93775196	93775444
124	"ENSG00000248333"	NA	chr1	-	1652438	1655484	1652438	1652566	1655368	1655484
125	"ENSG00000116748"	NA	chr1	-	114674751	114676238	114674751	114674955	114675529	114676238
126	"ENSG00000163050"	NA	chr1	+	226940285	226961562	226940285	226940580	226961376	226961562
127	"ENSG00000143199"	NA	chr1	-	167901661	167902054	167901661	167901842	167902015	167902054
128	"ENSG00000127463"	NA	chr1	-	19241015	19242473	19241015	19241142	19241510	19242473
129	"ENSG00000183814"	NA	chr1	-	226277774	226286458	226277774	226277932	226286332	226286458
130	"ENSG00000289835"	NA	chr1	-	23790608	23793558	23790608	23790790	23793471	23793558
131	"ENSG00000175984"	NA	chr1	-	114599273	114600352	114599273	114599451	114600203	114600352
132	"ENSG00000117091"	NA	chr1	-	160678745	160681468	160678745	160679131	160680421	160681468
133	"ENSG00000143847"	NA	chr1	+	203060969	203061678	203060969	203061032	203061365	203061678
134	"ENSG00000065243"	NA	chr1	+	88804845	88806268	88804845	88804921	88805496	88806268
135	"ENSG00000054523"	NA	chr1	+	10295085	10295766	10295085	10295165	10295659	10295766
136	"ENSG00000143127"	NA	chr1	-	145897010	145897339	145897010	145897087	145897246	145897339
137	"ENSG00000162843"	NA	chr1	+	241723296	241738489	241723296	241723436	241738362	241738489
138	"ENSG00000116675"	NA	chr1	+	65345610	65364785	65345610	65345723	65364634	65364785
139	"ENSG00000231992"	NA	chr1	+	95120146	95138554	95120146	95120286	95138274	95138554
140	"ENSG00000143036"	NA	chr1	+	94889198	94891267	94889198	94889355	94891129	94891267
141	"ENSG00000285954"	NA	chr1	+	53352717	53365473	53352717	53352811	53365129	53365473
142	"ENSG00000233217"	NA	chr1	+	200949523	200949874	200949523	200949661	200949758	200949874
143	"ENSG00000228918"	NA	chr1	-	182293255	182310208	182293255	182293345	182310160	182310208
144	"ENSG00000085999"	NA	chr1	+	46247580	46248408	46247580	46247746	46247762	46248408
145	"ENSG00000116793"	NA	chr1	-	113711745	113712113	113711745	113711835	113711939	113712113
146	"ENSG00000134243"	NA	chr1	-	109366782	109368808	109366782	109367481	109368477	109368808
147	"ENSG00000258465"	NA	chr1	-	160282038	160282458	160282038	160282200	160282416	160282458
148	"ENSG00000121957"	NA	chr1	+	108884820	108886172	108884820	108885578	108886078	108886172
149	"ENSG00000136636"	NA	chr1	+	215608016	215611921	215608016	215608172	215611824	215611921
150	"ENSG00000143799"	NA	chr1	-	226379921	226381883	226379921	226381208	226381745	226381883
151	"ENSG00000143502"	NA	chr1	-	223302762	223359121	223302762	223302827	223358824	223359121
152	"ENSG00000135749"	NA	chr1	-	233161270	233177898	233161270	233161363	233177801	233177898
153	"ENSG00000189195"	NA	chr1	+	92102472	92108001	92102472	92102669	92107883	92108001
154	"ENSG00000260971"	NA	chr1	-	56168238	56173802	56168238	56168490	56172203	56173802
155	"ENSG00000155816"	NA	chr1	+	240334108	240344781	240334108	240334229	240340550	240344781
156	"ENSG00000143801"	NA	chr1	+	226888828	226891849	226888828	226891365	226891742	226891849
157	"ENSG00000077549"	NA	chr1	-	19420024	19449330	19420024	19420144	19448833	19449330
158	"ENSG00000132694"	NA	chr1	-	156969997	156971825	156969997	156970043	156971696	156971825
159	"ENSG00000070886"	NA	chr1	+	22597311	22597861	22597311	22597476	22597675	22597861
160	"ENSG00000196482"	NA	chr1	-	217076851	217078360	217076851	217076931	217078135	217078360
161	"ENSG00000270629"	NA	chr1	-	148574052	148574929	148574052	148574225	148574877	148574929
162	"ENSG00000186094"	NA	chr1	-	49527227	49697437	49527227	49527604	49697312	49697437
163	"ENSG00000155363"	NA	chr1	+	112674736	112676750	112674736	112675049	112675485	112676750
164	"ENSG00000159023"	NA	chr1	+	28987430	28989435	28987430	28987905	28989355	28989435
165	"ENSG00000116473"	NA	chr1	+	111703335	111704486	111703335	111703476	111704342	111704486
166	"ENSG00000131584"	NA	chr1	-	1298369	1299905	1298369	1298421	1298566	1299905
167	"ENSG00000289402"	NA	chr1	-	20486357	20487405	20486357	20486979	20487268	20487405
168	"ENSG00000143862"	NA	chr1	-	202135458	202138038	202135458	202135800	202137964	202138038
169	"ENSG00000186007"	NA	chr1	-	205420454	205422056	205420454	205420582	205421989	205422056
170	"ENSG00000233268"	NA	chr1	-	9660827	9662626	9660827	9660918	9662296	9662626
171	"ENSG00000236140"	NA	chr1	-	145286609	145287755	145286609	145286870	145287635	145287755
172	"ENSG00000224209"	NA	chr1	-	63197142	63199020	63197142	63197389	63198715	63199020
173	"ENSG00000224525"	NA	chr1	+	242209217	242210827	242209217	242209335	242210368	242210827
174	"ENSG00000290903"	NA	chr1	+	120972785	120973246	120972785	120972910	120973107	120973246
175	"ENSG00000000971"	NA	chr1	+	196744750	196745999	196744750	196745094	196745816	196745999
176	"ENSG00000284668"	NA	chr1	+	3995784	3996932	3995784	3995830	3996806	3996932
177	"ENSG00000229444"	NA	chr1	-	43709391	43719126	43709391	43709535	43718993	43719126
178	"ENSG00000198837"	NA	chr1	-	153932175	153933871	153932175	153933319	153933482	153933871
179	"ENSG00000094975"	NA	chr1	+	172555868	172557417	172555868	172556023	172557279	172557417
180	"ENSG00000277406"	NA	chr1	-	146325223	146328211	146325223	146325370	146328050	146328211
181	"ENSG00000058799"	NA	chr1	-	53882942	53883276	53882942	53883031	53883112	53883276
182	"ENSG00000143434"	NA	chr1	-	151138315	151138731	151138315	151138406	151138629	151138731
183	"ENSG00000118200"	NA	chr1	+	200854816	200856125	200854816	200854889	200856009	200856125
184	"ENSG00000142794"	NA	chr1	+	21442239	21445219	21442239	21442358	21444943	21445219
185	"ENSG00000155761"	NA	chr1	-	117963798	117964810	117963798	117963938	117964680	117964810
186	"ENSG00000287224"	NA	chr1	-	61588048	61589904	61588048	61589353	61589793	61589904
187	"ENSG00000142687"	NA	chr1	-	35447045	35448332	35447045	35447233	35447597	35448332
188	"ENSG00000226889"	NA	chr1	-	161749451	161765501	161749451	161750367	161765324	161765501
189	"ENSG00000142945"	NA	chr1	+	44762139	44762658	44762139	44762451	44762544	44762658
190	"ENSG00000171502"	NA	chr1	-	85961248	85965062	85961248	85961293	85965008	85965062
191	"ENSG00000264443"	NA	chr1	-	24538801	24552048	24538801	24539876	24551887	24552048
192	"ENSG00000284309"	NA	chr1	+	26046664	26049099	26046664	26047149	26048643	26049099
193	"ENSG00000183888"	NA	chr1	+	16004235	16008807	16004235	16004385	16005918	16008807
194	"ENSG00000225675"	NA	chr1	+	53331167	53336509	53331167	53331251	53336169	53336509
195	"ENSG00000121900"	NA	chr1	-	32898125	32901438	32898125	32898319	32901222	32901438
196	"ENSG00000116729"	NA	chr1	-	68137779	68142862	68137779	68138162	68142603	68142862
197	"ENSG00000143595"	NA	chr1	+	154321932	154323119	154321932	154322059	154322981	154323119
198	"ENSG00000231612"	NA	chr1	-	245673731	245676478	245673731	245673905	245676205	245676478
199	"ENSG00000143624"	NA	chr1	+	153769768	153770311	153769768	153769844	153770197	153770311
