"ASE","compare","Freq","mean_delta_psi_mean","uncertainty","isoform_compare","alternative_transcripts","total_transcripts","classification"
"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+","F7/D6",2,-0.125999048342857,-9.61610621162511,"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ F7/D6","ENST00000341222.10","ENST00000341222.10,ENST00000423241.6","Low Confidence"
"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+","M8/D6",2,-0.0531477036714286,-37.0510587282175,"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ M8/D6","ENST00000341222.10","ENST00000341222.10,ENST00000423241.6","Low Confidence"
"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+","D5/D6",3,0.0748733526523808,34.1963462165916,"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ D5/D6","ENST00000395148.6","ENST00000423241.6,ENST00000395148.6","Medium Confidence"
"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+","F7/D6",3,0.00239428878095237,645.407508855954,"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ F7/D6","ENST00000395148.6","ENST00000423241.6,ENST00000395148.6","Medium Confidence"
"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+","M8/D6",2,0.0488856904714286,41.7831427096723,"ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ M8/D6","ENST00000395148.6","ENST00000423241.6,ENST00000395148.6","Low Confidence"
"ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+","D5/D6",2,0.0405549990428571,2.89316554021595,"ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+ D5/D6","ENST00000688680.1,ENST00000691694.1,ENST00000691404.1,ENST00000685102.1,ENST00000689366.1,ENST00000686270.1,ENST00000690627.1,ENST00000689853.1,ENST00000400181.9","ENST00000687202.1,ENST00000686771.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000690627.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000692209.1,ENST00000685102.1,ENST00000688235.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1","Low Confidence"
"ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+","M8/D6",2,0.00452476234285715,453.074525802087,"ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+ M8/D6","ENST00000688680.1,ENST00000691694.1,ENST00000691404.1,ENST00000685102.1,ENST00000689366.1,ENST00000686270.1,ENST00000690627.1,ENST00000689853.1,ENST00000400181.9","ENST00000687202.1,ENST00000686771.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000690627.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000692209.1,ENST00000685102.1,ENST00000688235.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1","Low Confidence"
"ENSG00000004487.18;SE:chr1:23059167-23066060:23066071-23068539:+","D5/D6",2,0.0337338983642858,20.8268822564999,"ENSG00000004487.18;SE:chr1:23059167-23066060:23066071-23068539:+ D5/D6","ENST00000400181.9","ENST00000687202.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000685102.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1","Low Confidence"
"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+","D5/D6",2,0.00905886854285712,23.7794034631236,"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ D5/D6","ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9","Low Confidence"
"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+","F7/D6",3,0.0718105293857143,10.6236488684825,"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ F7/D6","ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9","Medium Confidence"
"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+","M8/D6",3,0.0755920599142857,9.00124539219957,"ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ M8/D6","ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9","Medium Confidence"
"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+","D5/D6",2,0.0303167707214286,4.21873284604711,"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+ D5/D6","ENST00000454079.5","ENST00000454079.5,ENST00000443081.5,ENST00000266022.9,ENST00000441115.5,ENST00000422955.5,ENST00000419610.5,ENST00000442092.5,ENST00000438912.1,ENST00000434592.5","Low Confidence"
"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+","F7/D6",3,0.0933575890666666,5.98867656280753,"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+ F7/D6","ENST00000454079.5","ENST00000454079.5,ENST00000443081.5,ENST00000266022.9,ENST00000441115.5,ENST00000422955.5,ENST00000419610.5,ENST00000442092.5,ENST00000438912.1,ENST00000434592.5","Medium Confidence"
"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+","M8/D6",3,0.0978256208619048,6.77768945567045,"ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+ M8/D6","ENST00000454079.5","ENST00000454079.5,ENST00000443081.5,ENST00000266022.9,ENST00000441115.5,ENST00000422955.5,ENST00000419610.5,ENST00000442092.5,ENST00000438912.1,ENST00000434592.5","Medium Confidence"
"ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+","F7/D6",3,0.0408245245476191,18.9903722478126,"ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+ F7/D6","ENST00000265437.9","ENST00000265437.9,ENST00000422922.5,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+","M8/D6",2,-0.0373209346857142,-6.03396099755011,"ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+ M8/D6","ENST00000265437.9","ENST00000265437.9,ENST00000422922.5,ENST00000432298.5","Low Confidence"
"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+","D5/D6",3,-0.350815707523809,-0.345637286289733,"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+ D5/D6","ENST00000393451.7","ENST00000393451.7,ENST00000422922.5,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+","F7/D6",3,-0.0343418658952381,-1.58629320490235,"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+ F7/D6","ENST00000393451.7","ENST00000393451.7,ENST00000422922.5,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+","M8/D6",3,-0.054414144852381,-6.30126200738937,"ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+ M8/D6","ENST00000393451.7","ENST00000393451.7,ENST00000422922.5,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;AF:chr7:116953501:116953691-117099762:117014888:117015014-117099762:+","F7/D6",3,-0.0856264815952381,-7.73583941020801,"ENSG00000004866.22;AF:chr7:116953501:116953691-117099762:117014888:117015014-117099762:+ F7/D6","ENST00000323984.8","ENST00000323984.8,ENST00000422922.5,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+","D5/D6",3,0.0559233283063493,64.0482613001934,"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ D5/D6","ENST00000265437.9","ENST00000323984.8,ENST00000265437.9","Medium Confidence"
"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+","F7/D6",3,0.17123850374127,7.06007823021554,"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ F7/D6","ENST00000265437.9","ENST00000323984.8,ENST00000265437.9","Medium Confidence"
"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+","M8/D6",2,0.104865215092857,12.5385207598562,"ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ M8/D6","ENST00000265437.9","ENST00000323984.8,ENST00000265437.9","Low Confidence"
"ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+","F7/D6",3,-0.0298307359285714,-34.1679762619097,"ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+ F7/D6","ENST00000265437.9,ENST00000393449.5,ENST00000323984.8,ENST00000432298.5,ENST00000487459.5,ENST00000393447.8,ENST00000490039.1","ENST00000489293.5,ENST00000446490.5,ENST00000265437.9,ENST00000422922.5,ENST00000438863.5,ENST00000393443.5,ENST00000323984.8,ENST00000487459.5,ENST00000393451.7,ENST00000465133.5,ENST00000393444.7,ENST00000393449.5,ENST00000490039.1,ENST00000393447.8,ENST00000393446.6,ENST00000432298.5","Medium Confidence"
"ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+","M8/D6",3,-0.0639530149857143,-9.39934007951174,"ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+ M8/D6","ENST00000265437.9,ENST00000393449.5,ENST00000323984.8,ENST00000432298.5,ENST00000487459.5,ENST00000393447.8,ENST00000490039.1","ENST00000489293.5,ENST00000446490.5,ENST00000265437.9,ENST00000422922.5,ENST00000438863.5,ENST00000393443.5,ENST00000323984.8,ENST00000487459.5,ENST00000393451.7,ENST00000465133.5,ENST00000393444.7,ENST00000393449.5,ENST00000490039.1,ENST00000393447.8,ENST00000393446.6,ENST00000432298.5","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+","F7/D6",2,-0.0192584754214285,-231.928114771082,"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+ F7/D6","ENST00000337339.7","ENST00000337339.7,ENST00000398527.7","Low Confidence"
"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+","M8/D6",2,0.0299243287214285,4.89887349116404,"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+ M8/D6","ENST00000337339.7","ENST00000337339.7,ENST00000398527.7","Low Confidence"
"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+","D5/D6",3,-0.0204279810285714,-126.606294660515,"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ D5/D6","ENST00000337339.7","ENST00000649602.1,ENST00000337339.7","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+","F7/D6",3,0.0184020264142857,148.936591473552,"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ F7/D6","ENST00000337339.7","ENST00000649602.1,ENST00000337339.7","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+","M8/D6",3,-0.162722835014286,-18.7604437026121,"ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ M8/D6","ENST00000337339.7","ENST00000649602.1,ENST00000337339.7","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11758250:11758365-11759793:11758556:11758773-11759793:+","M8/D6",2,0.0950076069916665,18.8097784561967,"ENSG00000005302.19;AF:chrX:11758250:11758365-11759793:11758556:11758773-11759793:+ M8/D6","ENST00000647701.1,ENST00000648889.1,ENST00000647857.1","ENST00000647857.1,ENST00000647701.1,ENST00000648889.1,ENST00000398527.7","Low Confidence"
"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+","D5/D6",3,0.1264119946,18.6070172001579,"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ D5/D6","ENST00000649078.1","ENST00000649078.1,ENST00000649271.1","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+","F7/D6",3,0.152279567290476,14.0345264327057,"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ F7/D6","ENST00000649078.1","ENST00000649078.1,ENST00000649271.1","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+","M8/D6",3,0.0459950614333333,48.2369636027396,"ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ M8/D6","ENST00000649078.1","ENST00000649078.1,ENST00000649271.1","Medium Confidence"
"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+","D5/D6",2,-0.00954964127142856,-59.4555552557188,"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ D5/D6","ENST00000649308.1","ENST00000649308.1,ENST00000649271.1","Low Confidence"
"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+","F7/D6",2,0.0909108939857145,46.0502160886792,"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ F7/D6","ENST00000649308.1","ENST00000649308.1,ENST00000649271.1","Low Confidence"
"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+","M8/D6",2,-0.123162457014285,-13.5356153083085,"ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ M8/D6","ENST00000649308.1","ENST00000649308.1,ENST00000649271.1","Low Confidence"
"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-","D5/D6",3,-0.0264773931190476,-14.0148482853084,"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- D5/D6","ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1","Medium Confidence"
"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-","F7/D6",2,0.0462223149642857,21.0435004337527,"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- F7/D6","ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1","Low Confidence"
"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-","M8/D6",2,0.00589676537142855,276.928246492214,"ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- M8/D6","ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1","Low Confidence"
"ENSG00000005483.23;SE:chr7:105014535-105038126:105038199-105040839:+","F7/D6",2,0.00873410190714285,66.7692805641942,"ENSG00000005483.23;SE:chr7:105014535-105038126:105038199-105040839:+ F7/D6","ENST00000479838.3,ENST00000334884.9,ENST00000311117.8,ENST00000476671.5","ENST00000473063.2,ENST00000334884.9,ENST00000495267.5,ENST00000478990.6,ENST00000257745.9,ENST00000667857.1,ENST00000311117.8,ENST00000476671.5,ENST00000478079.2,ENST00000700500.1,ENST00000479838.3","Low Confidence"
"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+","D5/D6",3,0.0967392133428572,4.1865991448543,"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+ D5/D6","ENST00000318622.8,ENST00000454791.1","ENST00000454791.1,ENST00000318622.8,ENST00000006777.11","Medium Confidence"
"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+","F7/D6",2,0.0323262806285714,28.4382227749233,"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+ F7/D6","ENST00000318622.8,ENST00000454791.1","ENST00000454791.1,ENST00000318622.8,ENST00000006777.11","Low Confidence"
"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+","M8/D6",3,-0.0182890422,-32.6111819323425,"ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+ M8/D6","ENST00000318622.8,ENST00000454791.1","ENST00000454791.1,ENST00000318622.8,ENST00000006777.11","Medium Confidence"
"ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:-","D5/D6",2,0.0370552965571428,86.8154360500272,"ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:- D5/D6","ENST00000649622.1","ENST00000005082.13,ENST00000529789.5,ENST00000534569.5,ENST00000526601.5,ENST00000399602.9,ENST00000620374.4,ENST00000649622.1","Low Confidence"
"ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:-","M8/D6",2,0.0701255852785714,21.8555689611953,"ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:- M8/D6","ENST00000649622.1","ENST00000005082.13,ENST00000529789.5,ENST00000534569.5,ENST00000526601.5,ENST00000399602.9,ENST00000620374.4,ENST00000649622.1","Low Confidence"
"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-","D5/D6",2,0.0615003902,7.17886755317351,"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- D5/D6","ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5","Low Confidence"
"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-","F7/D6",2,0.0308509824,73.568364737529,"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- F7/D6","ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5","Low Confidence"
"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-","M8/D6",2,-0.0267329515928571,-82.9292315841315,"ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- M8/D6","ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5","Low Confidence"
"ENSG00000005810.20;SE:chr13:77099013-77118340:77118495-77121373:-","D5/D6",2,-0.00358209957857143,-54.4077287266766,"ENSG00000005810.20;SE:chr13:77099013-77118340:77118495-77121373:- D5/D6","ENST00000682321.1,ENST00000695079.1","ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000682321.1,ENST00000683823.1,ENST00000695079.1,ENST00000695081.1","Low Confidence"
"ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:-","D5/D6",2,0.0201872007714286,133.471785157019,"ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:- D5/D6","ENST00000357337.11","ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000683823.1,ENST00000357337.11,ENST00000695081.1","Low Confidence"
"ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:-","F7/D6",2,0.0105564180214286,100.096790407307,"ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:- F7/D6","ENST00000357337.11","ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000683823.1,ENST00000357337.11,ENST00000695081.1","Low Confidence"
