isoform,compare,Freq,fc,log2FC,uncertainty,isoform_compare,gene_id,gene_name,gene_type,transcript_name,transcript_type,transcript_length,exon_count,junction_count,classification
ENST00000005260,D5/D6,3,1.521545148,0.592737308,9.228349978,ENST00000005260.9 D5/D6,ENSG00000006453.14,BAIAP2L1,protein_coding,BAIAP2L1-201,protein_coding,3645,14,13,Low Confidence
ENST00000005260,F7/D6,3,2.236324047,1.152070935,7.718206778,ENST00000005260.9 F7/D6,ENSG00000006453.14,BAIAP2L1,protein_coding,BAIAP2L1-201,protein_coding,3645,14,13,Low Confidence
ENST00000006750,D5/D6,2,0.776656561,-0.364709527,0.898285152,ENST00000006750.8 D5/D6,ENSG00000007312.14,CD79B,protein_coding,CD79B-201,protein_coding,1246,6,5,Low Confidence
ENST00000006750,M8/D6,2,1.347277198,0.429477082,2.809559297,ENST00000006750.8 M8/D6,ENSG00000007312.14,CD79B,protein_coding,CD79B-201,protein_coding,1246,6,5,Medium Confidence
ENST00000006777,D5/D6,3,0.528709367,-0.919688097,1.270530199,ENST00000006777.11 D5/D6,ENSG00000005486.17,RHBDD2,protein_coding,RHBDD2-201,protein_coding,1721,4,3,High Confidence
ENST00000007390,M8/D6,2,0.789886145,-0.340470001,1.60835396,ENST00000007390.3 M8/D6,ENSG00000007520.4,TSR3,protein_coding,TSR3-201,protein_coding,1210,6,5,Low Confidence
ENST00000007516,M8/D6,3,0.832937558,-0.26378388,0.665280091,ENST00000007516.8 M8/D6,ENSG00000004779.10,NDUFAB1,protein_coding,NDUFAB1-201,protein_coding,665,5,4,High Confidence
ENST00000008527,D5/D6,4,5.303614662,2.406131852,1.983534813,ENST00000008527.10 D5/D6,ENSG00000008405.12,CRY1,protein_coding,CRY1-201,protein_coding,2987,13,12,Medium Confidence
ENST00000008527,F7/D6,4,2.81083094,1.489271303,2.838404465,ENST00000008527.10 F7/D6,ENSG00000008405.12,CRY1,protein_coding,CRY1-201,protein_coding,2987,13,12,Medium Confidence
ENST00000008527,M8/D6,2,1.38179122,0.466340392,1.661901805,ENST00000008527.10 M8/D6,ENSG00000008405.12,CRY1,protein_coding,CRY1-201,protein_coding,2987,13,12,Low Confidence
ENST00000009530,D5/D6,3,0.488796778,-1.035971914,4.707072489,ENST00000009530.13 D5/D6,ENSG00000019582.17,CD74,protein_coding,CD74-201,protein_coding,1653,9,8,Low Confidence
ENST00000009530,F7/D6,3,0.726140399,-0.461684358,0.18204987,ENST00000009530.13 F7/D6,ENSG00000019582.17,CD74,protein_coding,CD74-201,protein_coding,1653,9,8,High Confidence
ENST00000009530,M8/D6,2,0.849150981,-0.236726614,3.369829776,ENST00000009530.13 M8/D6,ENSG00000019582.17,CD74,protein_coding,CD74-201,protein_coding,1653,9,8,Medium Confidence
ENST00000009589,D5/D6,2,1.097481902,0.133768935,2.436092117,ENST00000009589.8 D5/D6,ENSG00000008988.11,RPS20,protein_coding,RPS20-201,protein_coding,519,4,3,Medium Confidence
ENST00000009589,F7/D6,3,1.145825234,0.196349363,0.510579695,ENST00000009589.8 F7/D6,ENSG00000008988.11,RPS20,protein_coding,RPS20-201,protein_coding,519,4,3,High Confidence
ENST00000011619,D5/D6,2,0.913609754,-0.130930117,2.835195103,ENST00000011619.6 D5/D6,ENSG00000010017.13,RANBP9,protein_coding,RANBP9-201,protein_coding,3384,14,13,Medium Confidence
ENST00000012443,M8/D6,2,0.898589822,-0.154281308,0.469981946,ENST00000012443.9 M8/D6,ENSG00000011485.15,PPP5C,protein_coding,PPP5C-201,protein_coding,2139,13,12,Low Confidence
ENST00000013070,D5/D6,3,0.843627687,-0.245416291,0.808247115,ENST00000013070.11 D5/D6,ENSG00000012963.15,UBR7,protein_coding,UBR7-201,protein_coding,3494,11,10,High Confidence
ENST00000013070,M8/D6,4,1.476379875,0.561895402,0.882215983,ENST00000013070.11 M8/D6,ENSG00000012963.15,UBR7,protein_coding,UBR7-201,protein_coding,3494,11,10,High Confidence
ENST00000014914,D5/D6,2,0.600697688,-0.735555141,1.920686583,ENST00000014914.6 D5/D6,ENSG00000013588.9,GPRC5A,protein_coding,GPRC5A-201,protein_coding,6582,4,3,Medium Confidence
ENST00000014914,M8/D6,2,0.550332183,-0.861892383,1.923677915,ENST00000014914.6 M8/D6,ENSG00000013588.9,GPRC5A,protein_coding,GPRC5A-201,protein_coding,6582,4,3,Medium Confidence
ENST00000014930,D5/D6,4,2.252424116,1.17139972,0.605729133,ENST00000014930.9 D5/D6,ENSG00000013583.10,HEBP1,protein_coding,HEBP1-201,protein_coding,1159,4,3,High Confidence
ENST00000014930,M8/D6,4,2.243207184,1.165113166,1.430750429,ENST00000014930.9 M8/D6,ENSG00000013583.10,HEBP1,protein_coding,HEBP1-201,protein_coding,1159,4,3,High Confidence
ENST00000028008,F7/D6,2,0.657988749,-0.61725361,13.56065017,ENST00000028008.9 F7/D6,ENSG00000026297.17,RNASET2,protein_coding,RNASET2-201,nonsense_mediated_decay,1220,9,8,Low Confidence
ENST00000033079,F7/D6,2,0.836624359,-0.278855706,17.13936326,ENST00000033079.7 F7/D6,ENSG00000031003.11,FAM13B,protein_coding,FAM13B-201,protein_coding,5465,23,22,Low Confidence
ENST00000037869,D5/D6,3,1.251170784,0.32316272,0.895112685,ENST00000037869.8 D5/D6,ENSG00000035141.9,FAM136A,protein_coding,FAM136A-201,protein_coding,1786,3,2,High Confidence
ENST00000038176,D5/D6,3,1.23858914,0.308606343,0.793655586,ENST00000038176.8 D5/D6,ENSG00000035681.9,NSMAF,protein_coding,NSMAF-201,protein_coding,3574,31,30,High Confidence
ENST00000040738,D5/D6,2,1.23706369,0.306897662,0.553722764,ENST00000040738.10 D5/D6,ENSG00000038219.13,BOD1L1,protein_coding,BOD1L1-201,protein_coding,10567,26,25,Low Confidence
ENST00000040877,D5/D6,3,1.415713274,0.501340904,1.141442012,ENST00000040877.2 D5/D6,ENSG00000059588.10,TARBP1,protein_coding,TARBP1-201,protein_coding,5206,30,29,High Confidence
ENST00000044462,F7/D6,2,0.745738918,-0.423383699,1.322831156,ENST00000044462.12 F7/D6,ENSG00000041357.16,PSMA4,protein_coding,PSMA4-201,protein_coding,4378,9,8,Low Confidence
ENST00000046794,D5/D6,3,1.236621711,0.306387936,0.335929146,ENST00000046794.10 D5/D6,ENSG00000043462.13,LCP2,protein_coding,LCP2-201,protein_coding,4232,21,20,High Confidence
ENST00000046794,F7/D6,3,1.56329848,0.64068627,5.113493296,ENST00000046794.10 F7/D6,ENSG00000043462.13,LCP2,protein_coding,LCP2-201,protein_coding,4232,21,20,Low Confidence
ENST00000046794,M8/D6,3,1.776892119,0.828785944,1.975595,ENST00000046794.10 M8/D6,ENSG00000043462.13,LCP2,protein_coding,LCP2-201,protein_coding,4232,21,20,Medium Confidence
ENST00000053243,D5/D6,4,0.706671327,-0.500933546,0.45559396,ENST00000053243.6 D5/D6,ENSG00000048462.11,TNFRSF17,protein_coding,TNFRSF17-201,protein_coding,891,3,2,High Confidence
ENST00000053243,F7/D6,3,0.775098098,-0.367660518,0.880739412,ENST00000053243.6 F7/D6,ENSG00000048462.11,TNFRSF17,protein_coding,TNFRSF17-201,protein_coding,891,3,2,High Confidence
ENST00000053243,M8/D6,3,0.751865627,-0.411511391,0.63588302,ENST00000053243.6 M8/D6,ENSG00000048462.11,TNFRSF17,protein_coding,TNFRSF17-201,protein_coding,891,3,2,High Confidence
ENST00000053468,F7/D6,3,0.767817565,-0.381359111,1.164081179,ENST00000053468.4 F7/D6,ENSG00000048544.6,MRPS10,protein_coding,MRPS10-201,protein_coding,2100,7,6,High Confidence
ENST00000053468,M8/D6,3,1.12930804,0.174906162,1.90928216,ENST00000053468.4 M8/D6,ENSG00000048544.6,MRPS10,protein_coding,MRPS10-201,protein_coding,2100,7,6,Medium Confidence
ENST00000053867,F7/D6,3,0.855766759,-0.22476351,0.607643757,ENST00000053867.8 F7/D6,ENSG00000030582.18,GRN,protein_coding,GRN-201,protein_coding,2130,13,12,High Confidence
ENST00000053867,M8/D6,2,0.929971061,-0.104752953,0.384801512,ENST00000053867.8 M8/D6,ENSG00000030582.18,GRN,protein_coding,GRN-201,protein_coding,2130,13,12,Low Confidence
ENST00000054666,D5/D6,2,0.855668044,-0.224996612,1.28828145,ENST00000054666.11 D5/D6,ENSG00000049245.13,VAMP3,protein_coding,VAMP3-201,protein_coding,2178,5,4,Low Confidence
ENST00000054950,M8/D6,2,0.855701094,-0.224843695,0.558925521,ENST00000054950.4 M8/D6,ENSG00000049449.10,RCN1,protein_coding,RCN1-201,protein_coding,2369,6,5,Low Confidence
ENST00000060969,D5/D6,2,1.137185569,0.185387273,1.055861242,ENST00000060969.6 D5/D6,ENSG00000052723.12,SIKE1,protein_coding,SIKE1-201,protein_coding,5494,5,4,Low Confidence
ENST00000072644,D5/D6,3,0.65905809,-0.605593414,5.237694823,ENST00000072644.7 D5/D6,ENSG00000058799.15,YIPF1,protein_coding,YIPF1-201,protein_coding,1821,11,10,Low Confidence
ENST00000072869,D5/D6,2,1.364232734,0.447947436,1.404701101,ENST00000072869.9 D5/D6,ENSG00000133597.11,ADCK2,protein_coding,ADCK2-201,protein_coding,2574,8,7,Low Confidence
ENST00000075120,F7/D6,3,0.761008069,-0.394095478,0.740833778,ENST00000075120.12 F7/D6,ENSG00000059804.16,SLC2A3,protein_coding,SLC2A3-201,protein_coding,3827,10,9,High Confidence
ENST00000075120,M8/D6,4,1.444284716,0.528710072,2.707378021,ENST00000075120.12 M8/D6,ENSG00000059804.16,SLC2A3,protein_coding,SLC2A3-201,protein_coding,3827,10,9,Medium Confidence
ENST00000075322,D5/D6,4,0.582922916,-0.77960453,2.105231131,ENST00000075322.11 D5/D6,ENSG00000136960.13,ENPP2,protein_coding,ENPP2-201,protein_coding,3086,25,24,Medium Confidence
ENST00000075322,F7/D6,4,0.358985757,-1.478191402,0.937329593,ENST00000075322.11 F7/D6,ENSG00000136960.13,ENPP2,protein_coding,ENPP2-201,protein_coding,3086,25,24,High Confidence
ENST00000075322,M8/D6,4,0.54549616,-0.874456301,0.670428079,ENST00000075322.11 M8/D6,ENSG00000136960.13,ENPP2,protein_coding,ENPP2-201,protein_coding,3086,25,24,High Confidence
ENST00000081029,D5/D6,3,1.158768299,0.212480747,0.87604068,ENST00000081029.8 D5/D6,ENSG00000061794.13,MRPS35,protein_coding,MRPS35-201,protein_coding,1829,8,7,High Confidence
ENST00000081029,M8/D6,3,0.864964805,-0.209286848,0.035826085,ENST00000081029.8 M8/D6,ENSG00000061794.13,MRPS35,protein_coding,MRPS35-201,protein_coding,1829,8,7,High Confidence
ENST00000085219,D5/D6,3,1.663337585,0.733894983,1.139453368,ENST00000085219.10 D5/D6,ENSG00000012124.17,CD22,protein_coding,CD22-201,protein_coding,3274,14,13,High Confidence
ENST00000085219,F7/D6,3,1.167502428,0.222898834,1.913926364,ENST00000085219.10 F7/D6,ENSG00000012124.17,CD22,protein_coding,CD22-201,protein_coding,3274,14,13,Medium Confidence
ENST00000085219,M8/D6,3,1.53257273,0.615812359,0.992994879,ENST00000085219.10 M8/D6,ENSG00000012124.17,CD22,protein_coding,CD22-201,protein_coding,3274,14,13,High Confidence
ENST00000156471,D5/D6,2,1.257415915,0.330446784,0.458195086,ENST00000156471.10 D5/D6,ENSG00000021776.11,AQR,protein_coding,AQR-201,protein_coding,9597,35,34,Low Confidence
ENST00000157600,M8/D6,2,1.518460765,0.602309219,2.040526304,ENST00000157600.8 M8/D6,ENSG00000071282.12,LMCD1,protein_coding,LMCD1-201,protein_coding,8284,6,5,Medium Confidence
ENST00000158762,D5/D6,2,1.117577984,0.160361614,0.438826278,ENST00000158762.8 D5/D6,ENSG00000072818.12,ACAP1,protein_coding,ACAP1-201,protein_coding,2511,22,21,Low Confidence
ENST00000158771,D5/D6,3,0.796000364,-0.329306394,1.014082758,ENST00000158771.9 D5/D6,ENSG00000072849.11,DERL2,protein_coding,DERL2-201,protein_coding,4167,7,6,High Confidence
ENST00000158771,M8/D6,2,0.81044311,-0.303310857,1.139561568,ENST00000158771.9 M8/D6,ENSG00000072849.11,DERL2,protein_coding,DERL2-201,protein_coding,4167,7,6,Low Confidence
ENST00000160262,F7/D6,3,1.41468669,0.500039375,1.760294494,ENST00000160262.10 F7/D6,ENSG00000076662.11,ICAM3,protein_coding,ICAM3-201,protein_coding,1735,7,6,High Confidence
ENST00000160827,D5/D6,3,1.59707139,0.675298463,0.947860391,ENST00000160827.9 D5/D6,ENSG00000079616.14,KIF22,protein_coding,KIF22-201,protein_coding,2081,14,13,High Confidence
ENST00000160827,M8/D6,4,2.810327336,1.488364595,3.274767869,ENST00000160827.9 M8/D6,ENSG00000079616.14,KIF22,protein_coding,KIF22-201,protein_coding,2081,14,13,Medium Confidence
ENST00000162749,M8/D6,3,1.434615457,0.520170671,1.844002727,ENST00000162749.7 M8/D6,ENSG00000067182.9,TNFRSF1A,protein_coding,TNFRSF1A-201,protein_coding,2171,10,9,Medium Confidence
ENST00000164133,D5/D6,3,0.54087591,-0.887003741,1.613636138,ENST00000164133.7 D5/D6,ENSG00000068971.14,PPP2R5B,protein_coding,PPP2R5B-201,protein_coding,2729,14,13,High Confidence
ENST00000164227,D5/D6,3,0.464951929,-1.105703327,2.446614452,ENST00000164227.10 D5/D6,ENSG00000069399.15,BCL3,protein_coding,BCL3-201,protein_coding,1877,9,8,Medium Confidence
ENST00000168216,D5/D6,2,1.237359767,0.307197814,0.965282997,ENST00000168216.11 D5/D6,ENSG00000072506.14,HSD17B10,protein_coding,HSD17B10-201,protein_coding,954,6,5,Low Confidence
ENST00000168977,D5/D6,3,2.619580839,1.388232253,2.756221563,ENST00000168977.7 D5/D6,ENSG00000077009.14,NMRK2,protein_coding,NMRK2-201,protein_coding,1160,8,7,Medium Confidence
ENST00000168977,F7/D6,3,2.176592767,1.121752574,1.483314509,ENST00000168977.7 F7/D6,ENSG00000077009.14,NMRK2,protein_coding,NMRK2-201,protein_coding,1160,8,7,High Confidence
ENST00000168977,M8/D6,3,3.018639318,1.593553749,1.546128483,ENST00000168977.7 M8/D6,ENSG00000077009.14,NMRK2,protein_coding,NMRK2-201,protein_coding,1160,8,7,High Confidence
ENST00000169298,F7/D6,2,0.529344542,-0.917724423,0.21663084,ENST00000169298.8 F7/D6,ENSG00000073849.16,ST6GAL1,protein_coding,ST6GAL1-201,protein_coding,4604,8,7,Low Confidence
ENST00000171111,F7/D6,2,0.623561629,-0.68213935,3.209444471,ENST00000171111.10 F7/D6,ENSG00000079999.14,KEAP1,protein_coding,KEAP1-201,protein_coding,2565,6,5,Medium Confidence
ENST00000171111,M8/D6,2,0.653011871,-0.615551386,3.185842679,ENST00000171111.10 M8/D6,ENSG00000079999.14,KEAP1,protein_coding,KEAP1-201,protein_coding,2565,6,5,Medium Confidence
ENST00000171757,D5/D6,3,0.577649209,-0.792123908,1.634324458,ENST00000171757.3 D5/D6,ENSG00000078589.13,P2RY10,protein_coding,P2RY10-201,protein_coding,3517,4,3,High Confidence
ENST00000173527,D5/D6,3,0.858876829,-0.219483461,0.214297695,ENST00000173527.6 D5/D6,ENSG00000066583.12,ISOC1,protein_coding,ISOC1-201,protein_coding,1942,5,4,High Confidence
ENST00000173527,M8/D6,3,0.835619106,-0.259109397,0.431469684,ENST00000173527.6 M8/D6,ENSG00000066583.12,ISOC1,protein_coding,ISOC1-201,protein_coding,1942,5,4,High Confidence
ENST00000174618,D5/D6,2,1.374880337,0.459244412,0.924426627,ENST00000174618.5 D5/D6,ENSG00000070444.15,MNT,protein_coding,MNT-201,protein_coding,4925,6,5,Low Confidence
ENST00000175091,D5/D6,4,0.816477196,-0.292519645,0.13829175,ENST00000175091.5 D5/D6,ENSG00000068697.7,LAPTM4A,protein_coding,LAPTM4A-201,protein_coding,1365,7,6,High Confidence
ENST00000175091,M8/D6,2,0.885504038,-0.175432359,0.208989637,ENST00000175091.5 M8/D6,ENSG00000068697.7,LAPTM4A,protein_coding,LAPTM4A-201,protein_coding,1365,7,6,Low Confidence
ENST00000175506,D5/D6,3,0.621858251,-0.685763852,1.707107269,ENST00000175506.8 D5/D6,ENSG00000070669.17,ASNS,protein_coding,ASNS-201,protein_coding,2356,14,13,High Confidence
ENST00000175506,F7/D6,3,2.777845519,1.472291768,3.428521832,ENST00000175506.8 F7/D6,ENSG00000070669.17,ASNS,protein_coding,ASNS-201,protein_coding,2356,14,13,Medium Confidence
ENST00000175506,M8/D6,3,1.920041212,0.938963954,3.926733877,ENST00000175506.8 M8/D6,ENSG00000070669.17,ASNS,protein_coding,ASNS-201,protein_coding,2356,14,13,Low Confidence
ENST00000175756,D5/D6,2,1.313433385,0.393054296,2.000478471,ENST00000175756.10 D5/D6,ENSG00000072135.13,PTPN18,protein_coding,PTPN18-201,protein_coding,3616,15,14,Medium Confidence
ENST00000175756,M8/D6,2,1.208675399,0.27319769,1.782212651,ENST00000175756.10 M8/D6,ENSG00000072135.13,PTPN18,protein_coding,PTPN18-201,protein_coding,3616,15,14,Low Confidence
ENST00000176643,M8/D6,2,0.686667528,-0.542372229,0.880104136,ENST00000176643.11 M8/D6,ENSG00000072210.19,ALDH3A2,protein_coding,ALDH3A2-201,protein_coding,3703,10,9,Low Confidence
ENST00000176763,D5/D6,3,1.248012846,0.31805282,3.331542353,ENST00000176763.10 D5/D6,ENSG00000072786.13,STK10,protein_coding,STK10-201,protein_coding,5892,19,18,Medium Confidence
ENST00000177648,D5/D6,2,0.387110205,-1.370717215,4.60821886,ENST00000177648.13 D5/D6,ENSG00000073331.18,ALPK1,protein_coding,ALPK1-201,protein_coding,4537,16,15,Low Confidence
ENST00000177694,F7/D6,2,0.400779562,-1.320559197,4.465793841,ENST00000177694.2 F7/D6,ENSG00000073861.3,TBX21,protein_coding,TBX21-201,protein_coding,2583,6,5,Low Confidence
ENST00000182527,D5/D6,3,1.259362621,0.332448411,1.302669586,ENST00000182527.4 D5/D6,ENSG00000065308.5,TRAM2,protein_coding,TRAM2-201,protein_coding,7047,11,10,High Confidence
ENST00000182527,M8/D6,3,0.655141132,-0.610296138,1.096558394,ENST00000182527.4 M8/D6,ENSG00000065308.5,TRAM2,protein_coding,TRAM2-201,protein_coding,7047,11,10,High Confidence
ENST00000184266,D5/D6,2,0.791672935,-0.337028686,0.266480594,ENST00000184266.3 D5/D6,ENSG00000065518.8,NDUFB4,protein_coding,NDUFB4-201,protein_coding,651,3,2,Low Confidence
ENST00000185150,D5/D6,2,0.780998536,-0.357068499,2.525542456,ENST00000185150.9 D5/D6,ENSG00000068912.15,ERLEC1,protein_coding,ERLEC1-201,protein_coding,2446,14,13,Medium Confidence
ENST00000185150,M8/D6,2,0.794597537,-0.331809847,1.212590708,ENST00000185150.9 M8/D6,ENSG00000068912.15,ERLEC1,protein_coding,ERLEC1-201,protein_coding,2446,14,13,Low Confidence
ENST00000186436,D5/D6,3,0.754965174,-0.407336538,3.577084194,ENST00000186436.10 D5/D6,ENSG00000075568.17,TMEM131,protein_coding,TMEM131-201,protein_coding,6701,41,40,Medium Confidence
ENST00000187762,F7/D6,2,0.816884001,-0.291803331,0.299320334,ENST00000187762.7 F7/D6,ENSG00000072954.7,TMEM38A,protein_coding,TMEM38A-201,protein_coding,2631,6,5,Low Confidence
ENST00000187762,M8/D6,4,0.649993659,-0.622241931,1.847392105,ENST00000187762.7 M8/D6,ENSG00000072954.7,TMEM38A,protein_coding,TMEM38A-201,protein_coding,2631,6,5,Medium Confidence
ENST00000188376,D5/D6,2,1.161237322,0.215634353,0.628487065,ENST00000188376.9 D5/D6,ENSG00000075415.15,SLC25A3,protein_coding,SLC25A3-201,protein_coding,1909,7,6,Low Confidence
ENST00000188376,M8/D6,2,0.724246813,-0.468650275,6.656801862,ENST00000188376.9 M8/D6,ENSG00000075415.15,SLC25A3,protein_coding,SLC25A3-201,protein_coding,1909,7,6,Low Confidence
ENST00000191018,D5/D6,3,1.549361371,0.631513653,1.049928192,ENST00000191018.9 D5/D6,ENSG00000064601.21,CTSA,protein_coding,CTSA-201,protein_coding,1898,15,14,High Confidence
ENST00000193403,D5/D6,3,2.341798419,1.223962659,4.993241974,ENST00000193403.10 D5/D6,ENSG00000072110.16,ACTN1,protein_coding,ACTN1-201,protein_coding,3779,21,20,Low Confidence
ENST00000193403,M8/D6,2,1.640133735,0.713453185,2.234541328,ENST00000193403.10 M8/D6,ENSG00000072110.16,ACTN1,protein_coding,ACTN1-201,protein_coding,3779,21,20,Medium Confidence
ENST00000194214,D5/D6,4,0.864856228,-0.210098531,1.691472609,ENST00000194214.10 D5/D6,ENSG00000081870.12,HSPB11,protein_coding,HSPB11-201,protein_coding,685,6,5,High Confidence
ENST00000194214,F7/D6,3,0.812698577,-0.299279515,0.704319564,ENST00000194214.10 F7/D6,ENSG00000081870.12,HSPB11,protein_coding,HSPB11-201,protein_coding,685,6,5,High Confidence
ENST00000194214,M8/D6,3,0.780781089,-0.35719589,1.13147375,ENST00000194214.10 M8/D6,ENSG00000081870.12,HSPB11,protein_coding,HSPB11-201,protein_coding,685,6,5,High Confidence
ENST00000194530,D5/D6,2,1.343009129,0.425382876,1.093346668,ENST00000194530.8 D5/D6,ENSG00000082146.13,STRADB,protein_coding,STRADB-201,protein_coding,2222,12,11,Low Confidence
ENST00000194530,F7/D6,3,1.308384661,0.386170053,3.308607155,ENST00000194530.8 F7/D6,ENSG00000082146.13,STRADB,protein_coding,STRADB-201,protein_coding,2222,12,11,Medium Confidence
ENST00000194530,M8/D6,3,0.709029885,-0.498113944,3.786330024,ENST00000194530.8 M8/D6,ENSG00000082146.13,STRADB,protein_coding,STRADB-201,protein_coding,2222,12,11,Low Confidence
ENST00000196061,D5/D6,2,0.864572128,-0.209944375,0.190100496,ENST00000196061.5 D5/D6,ENSG00000083444.17,PLOD1,protein_coding,PLOD1-201,protein_coding,2976,19,18,Low Confidence
ENST00000196551,D5/D6,3,1.332173607,0.413743313,0.518874513,ENST00000196551.8 D5/D6,ENSG00000083845.9,RPS5,protein_coding,RPS5-201,protein_coding,741,6,5,High Confidence
ENST00000196551,F7/D6,3,0.776616374,-0.364777298,0.595782355,ENST00000196551.8 F7/D6,ENSG00000083845.9,RPS5,protein_coding,RPS5-201,protein_coding,741,6,5,High Confidence
ENST00000196551,M8/D6,3,0.822107567,-0.282610672,0.260181681,ENST00000196551.8 M8/D6,ENSG00000083845.9,RPS5,protein_coding,RPS5-201,protein_coding,741,6,5,High Confidence
ENST00000198536,D5/D6,3,0.545001942,-0.875721633,0.616936706,ENST00000198536.7 D5/D6,ENSG00000085514.16,PILRA,protein_coding,PILRA-201,protein_coding,1271,7,6,High Confidence
ENST00000198536,F7/D6,3,0.862518494,-0.213506266,0.965216978,ENST00000198536.7 F7/D6,ENSG00000085514.16,PILRA,protein_coding,PILRA-201,protein_coding,1271,7,6,High Confidence
ENST00000198536,M8/D6,3,2.039606126,1.028008304,1.396076603,ENST00000198536.7 M8/D6,ENSG00000085514.16,PILRA,protein_coding,PILRA-201,protein_coding,1271,7,6,High Confidence
ENST00000198767,D5/D6,2,1.022397113,0.031329766,2.945006755,ENST00000198767.11 D5/D6,ENSG00000085721.13,RRN3,protein_coding,RRN3-201,protein_coding,3706,18,17,Medium Confidence
ENST00000198767,M8/D6,4,0.769941734,-0.377907735,1.853059637,ENST00000198767.11 M8/D6,ENSG00000085721.13,RRN3,protein_coding,RRN3-201,protein_coding,3706,18,17,Medium Confidence
ENST00000199320,D5/D6,3,1.381028133,0.465724727,0.352821225,ENST00000199320.9 D5/D6,ENSG00000086189.11,DIMT1,protein_coding,DIMT1-201,protein_coding,2831,12,11,High Confidence
ENST00000199389,M8/D6,3,0.798098775,-0.325528375,1.079413024,ENST00000199389.11 M8/D6,ENSG00000086232.13,EIF2AK1,protein_coding,EIF2AK1-201,protein_coding,4411,15,14,High Confidence
ENST00000199448,F7/D6,2,1.597245434,0.67529214,2.018206899,ENST00000199448.9 F7/D6,ENSG00000086289.13,EPDR1,protein_coding,EPDR1-201,protein_coding,2515,3,2,Medium Confidence
ENST00000199448,M8/D6,4,2.120387543,1.081353432,3.702665593,ENST00000199448.9 M8/D6,ENSG00000086289.13,EPDR1,protein_coding,EPDR1-201,protein_coding,2515,3,2,Medium Confidence
ENST00000199706,D5/D6,2,0.943512876,-0.083895514,0.365283258,ENST00000199706.13 D5/D6,ENSG00000086504.18,MRPL28,protein_coding,MRPL28-201,protein_coding,1524,6,5,Low Confidence
ENST00000200453,D5/D6,3,0.733736037,-0.447632343,2.57901347,ENST00000200453.6 D5/D6,ENSG00000087074.9,PPP1R15A,protein_coding,PPP1R15A-201,protein_coding,2350,3,2,Medium Confidence
ENST00000200453,M8/D6,3,0.871991143,-0.199059942,3.131616471,ENST00000200453.6 M8/D6,ENSG00000087074.9,PPP1R15A,protein_coding,PPP1R15A-201,protein_coding,2350,3,2,Medium Confidence
ENST00000200457,D5/D6,3,1.27958253,0.355661815,0.281150472,ENST00000200457.9 D5/D6,ENSG00000087077.14,TRIP6,protein_coding,TRIP6-201,protein_coding,1693,9,8,High Confidence
ENST00000200457,M8/D6,3,1.335840107,0.417730856,0.337635106,ENST00000200457.9 M8/D6,ENSG00000087077.14,TRIP6,protein_coding,TRIP6-201,protein_coding,1693,9,8,High Confidence
ENST00000200639,D5/D6,2,0.66142565,-0.596524873,1.560907863,ENST00000200639.9 D5/D6,ENSG00000005893.17,LAMP2,protein_coding,LAMP2-201,protein_coding,6535,9,8,Low Confidence
