Event_Type	Gene_Name	Gene_Id	PSI_1	PSI_2	PSI_3	DSE	p_value	dPSI	sample_pair	ASE
A3	BOLA2-SMG1P6	ENSG00000261740	0.351060852	0.319235454	0.356608082	Non-DSE	0.90158373	0.105332671	F7/D6	ENSG00000261740;A3:16:29447026-29454016:29446922-29454016:-
A5	H2AC6	ENSG00000180573.10	0.054835829	0.052531183	0.042000111	Non-DSE	0.002360839	-0.024687273	F7/D6	ENSG00000180573;A5:6:26124749-26138054:26124633-26138054:+
A5	BUD31	ENSG00000106245.11	0.186328874	0.189039842	0.210602762	Non-DSE	0.01064968	0.0341441	F7/D6	ENSG00000106245;A5:7:99409245-99410034:99409004-99410034:+
AL	BCCIP	ENSG00000107949.17	0.730697974	0.695770702	0.692925897	Non-DSE	0.004647339	0.028266294	F7/D6	ENSG00000107949;AL:10:125833946-125836104:125836551:125833946-125841255:125842805:+
AL	ZNF880	ENSG00000221923.9	0.324119023	0.335878593	0.30692756	Non-DSE	3.12462E-05	-0.031821236	F7/D6	ENSG00000221923;AL:19:52374427-52379421:52380075:52374427-52383849:52385795:+
SE	HSF2	ENSG00000025156.13	0.593206074	0.589348412	0.568014222	Non-DSE	0.012298303	-0.010905697	F7/D6	ENSG00000025156;SE:6:122423686-122427903:122427956-122431430:+
SE	IVNS1ABP	ENSG00000116679.16	0.400168122	0.413382002	0.389858933	Non-DSE	0.007711108	-0.027772583	F7/D6	ENSG00000116679;SE:1:185305643-185306485:185306625-185307014:-
SE	RIPK2	ENSG00000104312.8	0.667057592	0.675621712	0.669636421	Non-DSE	0.002481264	-0.022298593	F7/D6	ENSG00000104312;SE:8:89758233-89762829:89762982-89765341:+
SE	IFT46	ENSG00000118096.10	0.134983467	0.135734066	0.138858476	Non-DSE	0.803360007	0.022285418	F7/D6	ENSG00000118096;SE:11:118557045-118557738:118557890-118559785:-
MX	PRR3	ENSG00000204576.12	0.347768165	0.339082276	0.338972363	Non-DSE	0.491905175	-0.003922042	F7/D6	ENSG00000204576;MX:6:30557450-30558150:30558212-30561834:30557450-30561328:30561508-30561834:+
MX	RAB28	ENSG00000157869.16	0.808643284	0.766734358	0.812903629	Non-DSE	0.006025762	0.01089649	F7/D6	ENSG00000157869;MX:4:13368650-13369871:13369965-13376545:13368650-13371795:13371867-13376545:-
MX	COA1	ENSG00000106603.20	0.30948934	0.366445931	0.381895387	Non-DSE	-0.030184525	-0.034041006	F7/D6	ENSG00000106603;MX:7:43648652-43650493:43650712-43729429:43648652-43665658:43665722-43729429:-
A3	OSR2	ENSG00000164920.10	0.396319305	0.416512902	0.348329151	Non-DSE	0.474733112	0.045929625	F7/D6	ENSG00000164920;A3:8:98950755-98951519:98950755-98951601:+
A3	ALKBH2	ENSG00000189046.11	0.814238506	0.849733153	0.836132698	Non-DSE	0.315286855	-0.008222081	F7/D6	ENSG00000189046;A3:12:109092937-109093247:109092787-109093247:-
A5	MTFR2	ENSG00000146410.12	0.332503589	0.293960061	0.317438391	Non-DSE	0.505902609	0.00255107	F7/D6	ENSG00000146410;A5:6:136249153-136249976:136249153-136250264:-
A5	HBP1	ENSG00000105856.14	0.4135266	0.479672764		Non-DSE	0.515686036	0.026456002	F7/D6	ENSG00000105856;A5:7:107169185-107179879:107169027-107179879:+
AF	TFEB	ENSG00000112486.18	0.948281717	0.935527891	0.929380553	Non-DSE	0.009213228	0.002304069	F7/D6	ENSG00000112561;AF:6:41691235-41705647:41705940:41691235-41723461:41723726:-
AF	IDH1	ENSG00000138413.14	0.4510227	0.446062213	0.448646642	Non-DSE	2.85101E-05	0.049013583	F7/D6	ENSG00000138413;AF:2:208253959-208254031:208254322:208253959-208254343:208254458:-
AF	EIF5A	ENSG00000132507.18	0.588788679	0.552865401	0.556413908	Non-DSE	0.001272596	-0.020611516	F7/D6	ENSG00000132507;AF:17:7306999:7307115-7309615:7308371:7308575-7309615:+
AL	ZFP41	ENSG00000181638.20	0.054327033	0.048439254	0.054536136	Non-DSE	0.170520658	-0.001860781	F7/D6	ENSG00000181638;A5:8:143247749-143249690:143247142-143249690:+
AL	ARMC7	ENSG00000125449.7	0.388343579	0.361735136	0.384823171	Non-DSE	0.309176785	0.12563726	F7/D6	ENSG00000125449;AL:17:75110606-75114169:75114826:75110606-75128677:75130272:+
AL	TPGS2	ENSG00000134779.15	0.005828714	0.006096327	0.006465764	Non-DSE	1.85092E-05	0.00506669	F7/D6	ENSG00000134779;AL:18:36777647:36780188-36798449:36786573:36787079-36798449:-
A5	XRCC4	ENSG00000152422.16	0.009403364	0.008928802	0.008936527	Non-DSE	0.012219096	-0.001786148	F7/D6	ENSG00000152422;A5:5:83077662-83104910:83077615-83104910:+
SE	IKBIP	ENSG00000166130.15	0.665949718	0.603279232	0.643973806	down-regulate	0.011099173	-0.081872568	F7/D6	ENSG00000166130;SE:12:98614340-98634296:98634413-98644523:-
SE	C1orf43	ENSG00000143612.21	0.254770479	0.264908558	0.22987376	down-regulate	0.017999948	-0.13374883	F7/D6	ENSG00000143612;SE:1:154214574-154219836:154219937-154220342:-
SE	FCGR2B	ENSG00000072694.22	0.801524149	0.810494774	0.835579643	Non-DSE	0.145716812	-0.035491271	F7/D6	ENSG00000072694;SE:1:161674073-161675257:161675313-161677328:+
SE	CIAO2A	ENSG00000166797.11	0.347419186	0.336180645	0.369876816	Non-DSE	0.108898915	-0.020022006	F7/D6	ENSG00000166797;SE:15:64075537-64081102:64081151-64088687:-
SE	THEM4	ENSG00000159445.13	0.676263449	0.662847989	0.594434084	up-regulate	9.19531E-06	0.22092311	F7/D6	ENSG00000159445;SE:1:151889373-151889983:151890214-151895008:-
SE	ZNF35	ENSG00000169981.11	0.429099318	0.454604713	0.482975635	Non-DSE	0.206381622	-0.03057338	F7/D6	ENSG00000169981;SE:3:44651259-44652557:44652701-44658701:+
SE	PAICS	ENSG00000128050.9	0.000200322	0.000183958	0.000195933	Non-DSE	0.006193035	5.0129E-05	F7/D6	ENSG00000128050;SE:4:56441860-56446357:56446377-56446695:+
A3	OAS1	ENSG00000089127.15	0.000103459	0.000104708	7.51584E-05	down-regulate	0.00378745	-0.155749884	F7/D6	ENSG00000089127;A3:12:112917700-112918597:112917700-112919389:+
SE	TMEM263	ENSG00000151135.10	0.010845735	0.008494838	0.01171258	Non-DSE	0.388679031	0.003811276	F7/D6	ENSG00000151135;SE:12:106956065-106957082:106957149-106967111:+
AF	SNAPC2	ENSG00000104976.13	0.216295571	0.440115978	0.283527138	Non-DSE	0.091514821	-0.153422874	F7/D6	ENSG00000104976;AF:19:7920338:7920549-7921423:7921015:7921119-7921423:+
AF	FBXO5	ENSG00000112029.10	0.84897904	0.859258505		Non-DSE	0.493194651	0.384072292	F7/D6	ENSG00000112029;AF:6:152975621-152982857:152983041:152975621-152983234:152983579:-
SE	FZD3	ENSG00000104290.11	0.309173555		0.293247419	Non-DSE	0.225382951	-0.093531753	F7/D6	ENSG00000104290;SE:8:28494343-28499933:28499978-28502670:+
SE	CD200	ENSG00000091972.18	0.136977565	0.143240403	0.157409147	Non-DSE	0.277381154	-0.031094041	F7/D6	ENSG00000091972;A3:3:112345288-112347558:112345288-112347563:+
SE	C1orf52	ENSG00000162642.14	0.729103637	0.722130151	0.738126879	up-regulate	0.000173852	0.151115037	F7/D6	ENSG00000162642;SE:1:85258722-85258935:85259061-85259358:-
SE	EIF4H	ENSG00000106682.16	0.067687362	0.071960656	0.072362263	Non-DSE	8.49097E-06	0.026655074	F7/D6	ENSG00000106682;SE:7:74189918-74190247:74190306-74194741:+
MX	NCF2	ENSG00000116701.16	0.126938629	0.115954282	0.128218676	Non-DSE	9.65755E-05	0.029059541	F7/D6	ENSG00000116701;MX:1:183570839-183573185:183573292-183577599:183570839-183574487:183574621-183577599:-
SE	PUS3	ENSG00000110060.9	0.791435137	0.786285871	0.791134914	Non-DSE	0.365627148	0.019548588	D5/D6	ENSG00000110060;SE:11:125895789-125895907:125896330-125903170:-
SE	PEX2	ENSG00000164751.15	0.840465821	0.83698879	0.846951832	Non-DSE	5.23771E-05	-0.022316544	D5/D6	ENSG00000164751;SE:8:76986296-76988307:76988338-76999990:-
SE	ZKSCAN5	ENSG00000196652.12	0.581552863	0.595622704	0.593036337	Non-DSE	0.166953962	0.014054198	D5/D6	ENSG00000196652;SE:7:99519909-99520169:99520304-99525813:+
SE	RHBDD2	ENSG00000005486.17	0.616307315	0.592588917	0.602466074	up-regulate	0.007986684	0.138372934	D5/D6	ENSG00000005486;SE:7:75879260-75881365:75881486-75881829:+
SE	ZC2HC1A	ENSG00000104427.13	0.164508651	0.168711144	0.165822264	Non-DSE	0.00116764	-0.021154543	D5/D6	ENSG00000104427;SE:8:78698513-78711990:78712106-78715221:+
SE	HMGXB4	ENSG00000100281.14	0.429268388	0.477234445	0.470741937	Non-DSE	0.600728373	-0.00057427	D5/D6	ENSG00000100281;SE:22:35263874-35263982:35264096-35264648:+
SE	PAICS	ENSG00000128050.9	0.000141924	0.000157994	0.000151741	Non-DSE	0.005038075	-3.95436E-05	D5/D6	ENSG00000128050;SE:4:56441860-56446357:56446377-56446695:+
SE	ZNF146	ENSG00000167635.12	0.782292596	0.785343508	0.794402182	Non-DSE	0.006135534	0.027576511	D5/D6	ENSG00000167635;SE:19:36215196-36218122:36218195-36228748:+
SE	HNRNPDL	ENSG00000152795.18	0.388023625	0.390081608	0.441205012	Non-DSE	0.045476877	-0.078672132	D5/D6	ENSG00000152795;SE:4:82424883-82425563:82425667-82426037:-
SE	ERP29	ENSG00000089248.7	0.67994398	0.675571295	0.657139452	down-regulate	0.022766337	-0.058358349	D5/D6	ENSG00000089248;SE:12:112013609-112019756:112019894-112022150:+
SE	HLA-DQB1	ENSG00000179344.17	0.551206516	0.561471894	0.5392432	Non-DSE	3.89174E-05	-0.016276574	D5/D6	ENSG00000179344;SE:6:32660249-32660859:32660882-32661347:-
SE	ABI1	ENSG00000136754	0.17237282	0.160932972	0.158155109	down-regulate	0.000518765	-0.119818997	D5/D6	ENSG00000136754;SE:10:26751783-26759062:26759235-26765218:-
SE	EED	ENSG00000074266	0.240538555	0.219675178	0.226059937	Non-DSE	0.002693518	-0.043471636	D5/D6	ENSG00000074266;SE:11:86268561-86270083:86270157-86276980:+
RI	CCNT2	ENSG00000082258.13	0.604184145	0.642439488	0.623626247	Non-DSE	0.15770053	0.003678504	D5/D6	ENSG00000082258;RI:2:134953230:134954379-134954481:134959342:+
RI	DZIP3	ENSG00000198919.13	0.200300332	0.179829237	0.220853863	Non-DSE	0.003473174	-0.022891884	D5/D6	ENSG00000198919;RI:3:108647943:108648112-108648918:108648962:+ M8/D6
RI	TMEM250	ENSG00000238227.8	0.93824454	0.934603073	0.934949759	Non-DSE	0.000261896	0.010782739	D5/D6	ENSG00000238227;RI:9:136114589:136114950-136115456:136117024:-
RI	MARCHF6	ENSG00000145495.16	0.372619045	0.464063667	0.444831319	down-regulate	3.98943E-06	-0.097512137	D5/D6	ENSG00000145495;RI:5:10400784:10400842-10402059:10402139:+
RI	ARGLU1	ENSG00000134884.15	0.815157802	0.810968873	0.810866097	Non-DSE	0.169426942	0.009253707	D5/D6	ENSG00000134884;RI:13:106557048:106557131-106559432:106559657:-
MX	CALU	ENSG00000128595	0.729621136	0.740474178	0.763654456	Non-DSE	0.012130601	-0.028650582	D5/D6	ENSG00000128595;MX:7:128748804-128754262:128754455-128758871:128748804-128754529:128754722-128758871:+
A3	WSB1	ENSG00000109046.15	0.230428926	0.199500408	0.234129581	down-regulate	-0.332798712	-0.148731798	D5/D6	ENSG00000109046;A3:17:27306882-27307744:27306882-27309100:+
A3	BOLA2-SMG1P6	ENSG00000261740	0.287312356	0.295428274	0.292556857	Non-DSE	0.228653176	0.054797037	D5/D6	ENSG00000261740;A3:16:29447026-29454016:29446922-29454016:-
A5	H2AC6	ENSG00000180573.10	0.024997195	0.025069183	0.028442245	Non-DSE	6.33103E-05	-0.048306773	D5/D6	ENSG00000180573;A5:6:26124749-26138054:26124633-26138054:+
A5	BUD31	ENSG00000106245.11	0.125202076	0.120864167	0.137423283	Non-DSE	0.000128686	-0.033349884	D5/D6	ENSG00000106245;A5:7:99409245-99410034:99409004-99410034:+
AL	BCCIP	ENSG00000107949.17	0.634428091	0.665868833	0.62950054	Non-DSE	0.061635258	-0.034932743	D5/D6	ENSG00000107949;AL:10:125833946-125836104:125836551:125833946-125841255:125842805:+
