# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	junction_name	junction_coord	denovo	intron	reference_exon_coord	spliced_with_coord	exons_skipped_coords	num_skipped_exons	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000134697_4	ENSG00000134697	ENSG00000134697	1	-	ENSG00000134697:t:37575595-37575699	ENSG00000134697_4_MES_1	False	Distal	37575699-37582778	False	False	37575595-37575699	37582778-37583346	37576170-37576556;37581342-37581545;37582223-37582336	3	False	False	False	10	8	2.075e-01	2.118e-01	4.418e-03	1.311e-03	4.513e-01
ENSG00000134697_4	ENSG00000134697	ENSG00000134697	1	-	ENSG00000134697:t:37575595-37575699	ENSG00000134697_4_MES_1	False	Proximal	37575699-37576170	False	False	37582778-37583346	37576170-37576556	37576170-37576556;37581342-37581545;37582223-37582336	3	False	False	False	46	34	7.925e-01	7.882e-01	-4.418e-03	1.311e-03	4.513e-01
ENSG00000162777_1	ENSG00000162777	ENSG00000162777	1	-	ENSG00000162777:s:111199623-111200243	ENSG00000162777_1_MES_1	False	Distal	111192317-111199623	False	False	111199623-111200243	111192140-111192317	111194578-111194726;111195139-111195828;111195914-111197989;111198630-111198742	4	False	False	False	41	73	1.418e-01	4.033e-01	2.652e-01	9.145e-01	5.239e-10
ENSG00000162777_1	ENSG00000162777	ENSG00000162777	1	-	ENSG00000162777:s:111199623-111200243	ENSG00000162777_1_MES_1	False	Proximal	111198742-111199623	False	False	111199623-111200243	111198630-111198742	111194578-111194726;111195139-111195828;111195914-111197989;111198630-111198742	4	False	False	False	217	106	8.582e-01	5.967e-01	-2.652e-01	9.145e-01	5.235e-10
ENSG00000162777_1	ENSG00000162777	ENSG00000162777	1	-	ENSG00000162777:t:111192140-111192317	ENSG00000162777_1_MES_1	False	Distal	111192317-111199623	False	False	111192140-111192317	111199623-111200243	111194578-111194726;111195139-111195828;111195914-111197989;111198630-111198742	4	False	False	False	41	73	1.400e-01	3.792e-01	2.419e-01	8.143e-01	1.138e-07
ENSG00000162777_1	ENSG00000162777	ENSG00000162777	1	-	ENSG00000162777:t:111192140-111192317	ENSG00000162777_1_MES_1	False	Proximal	111192317-111194578	False	False	111199623-111200243	111194578-111194726	111194578-111194726;111195139-111195828;111195914-111197989;111198630-111198742	4	False	False	False	210	118	8.600e-01	6.208e-01	-2.419e-01	8.143e-01	1.137e-07
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-		ENSG00000271425_3_MES_1	True	Distal	146068521-146077986	True	False	146077986-146078287	146068341-146068521	146068772-146068823;146069543-146069715;146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154	7	False	False		274						
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-		ENSG00000271425_3_MES_1	True	Proximal				146077986-146078287		146068772-146068823;146069543-146069715;146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154	7	False	False				1.609e-01;8.391e-01	1.037e-01;8.963e-01		3.270e-12;2.644e-12	3.278e-01;3.278e-01
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:t:146068341-146068561	ENSG00000271425_3_MES_1	True	Distal	146068521-146077986	True	False	146068341-146068521	146077986-146078287	146068772-146068823;146069543-146069715;146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154	7	False	False	False	274		1.400e-01	1.911e-04	-1.089e-01	5.255e-20	3.156e-09
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:t:146068341-146068561	ENSG00000271425_3_MES_1	True	Proximal	146068561-146068772	False	True	146077986-146078287	146068772-146068823	146068772-146068823;146069543-146069715;146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154	7	False	False	False	1129	581	8.409e-01	9.990e-01	1.442e-01	9.780e-08	3.003e-20
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:s:146112054-146112226	ENSG00000271425_3_MES_2	True	Distal	146069635-146112147	True	False	146112147-146112226	146069543-146069635	146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154;146077986-146078287;146089239-146089347;146090062-146090234;146090881-146090932;146091642-146091814;146092411-146092462;146107344-146107516;146108119-146108227;146109751-146109802;146110512-146110684;146111281-146111332	16	False	False	False	159	92	1.609e-01	1.037e-01	-4.709e-02	3.270e-12	3.278e-01
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:s:146112054-146112226	ENSG00000271425_3_MES_2	True	Proximal	146111332-146112054	False	False	146112147-146112226	146111281-146111332	146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154;146077986-146078287;146089239-146089347;146090062-146090234;146090881-146090932;146091642-146091814;146092411-146092462;146107344-146107516;146108119-146108227;146109751-146109802;146110512-146110684;146111281-146111332	16	False	False	False	524	257	8.391e-01	8.963e-01	4.709e-02	2.644e-12	3.278e-01
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:t:146069543-146069715	ENSG00000271425_3_MES_2	True	Distal	146069635-146112147	True	False	146069543-146069635	146112147-146112226	146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154;146077986-146078287;146089239-146089347;146090062-146090234;146090881-146090932;146091642-146091814;146092411-146092462;146107344-146107516;146108119-146108227;146109751-146109802;146110512-146110684;146111281-146111332	16	False	False	False	159	92	3.887e-01	2.284e-01	-1.535e-01	1.735e-01	7.840e-03
ENSG00000271425_3	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:t:146069543-146069715	ENSG00000271425_3_MES_2	True	Proximal	146069715-146070324	False	False	146112147-146112226	146070324-146070432	146070324-146070432;146072729-146072901;146074271-146074504;146074572-146074717;146075046-146075154;146077986-146078287;146089239-146089347;146090062-146090234;146090881-146090932;146091642-146091814;146092411-146092462;146107344-146107516;146108119-146108227;146109751-146109802;146110512-146110684;146111281-146111332	16	False	False	False	133	115	5.069e-01	7.401e-01	2.348e-01	7.621e-01	5.067e-06
ENSG00000260971_5	ENSG00000260971	ENSG00000260971	1	-	ENSG00000260971:s:56224408-56224525	ENSG00000260971_5_MES_1	False	Distal	56173802-56224408	False	False	56224408-56224525	56172204-56173802	56183495-56183620;56193821-56194113;56214791-56214865	3	False	False	False	387	355	7.522e-01	7.302e-01	-1.662e-02	2.405e-12	6.418e-01
ENSG00000260971_5	ENSG00000260971	ENSG00000260971	1	-	ENSG00000260971:s:56224408-56224525	ENSG00000260971_5_MES_1	False	Proximal	56214865-56224408	False	False	56224408-56224525	56214791-56214865	56183495-56183620;56193821-56194113;56214791-56214865	3	False	False	False	125	135	2.478e-01	2.698e-01	1.662e-02	4.441e-16	6.418e-01
ENSG00000260971_5	ENSG00000260971	ENSG00000260971	1	-	ENSG00000260971:t:56172204-56173802	ENSG00000260971_5_MES_1	False	Distal	56173802-56224408	False	False	56172204-56173802	56224408-56224525	56183495-56183620;56193821-56194113;56214791-56214865	3	False	False	False	387	355	7.434e-01	7.401e-01	-2.687e-03	3.960e-16	7.581e-01
ENSG00000260971_5	ENSG00000260971	ENSG00000260971	1	-	ENSG00000260971:t:56172204-56173802	ENSG00000260971_5_MES_1	False	Proximal	56173802-56183495	False	False	56224408-56224525	56183495-56183620	56183495-56183620;56193821-56194113;56214791-56214865	3	False	False	False	131	130	2.566e-01	2.599e-01	2.687e-03	6.898e-18	7.581e-01
ENSG00000143632_1	ENSG00000143632	ENSG00000143632	1	-		ENSG00000143632_1_MES_1	False	Distal	229432431-229434004	False	False	229434004-229434104	229432270-229432431	229432556-229432880;229432987-229433127	2	False	False		2	2					
ENSG00000143632_1	ENSG00000143632	ENSG00000143632	1	-		ENSG00000143632_1_MES_1	False	Proximal				229434004-229434104		229432556-229432880;229432987-229433127	2	False	False								
ENSG00000143632_1	ENSG00000143632	ENSG00000143632	1	-	ENSG00000143632:t:229432270-229432431	ENSG00000143632_1_MES_1	False	Distal	229432431-229434004	False	False	229432270-229432431	229434004-229434104	229432556-229432880;229432987-229433127	2	False	False	False	2	2	7.200e-02	6.937e-02	2.117e-03	7.954e-03	4.357e-01
ENSG00000143632_1	ENSG00000143632	ENSG00000143632	1	-	ENSG00000143632:t:229432270-229432431	ENSG00000143632_1_MES_1	False	Proximal	229432431-229432556	False	False	229434004-229434104	229432556-229432880	229432556-229432880;229432987-229433127	2	False	False	False	20	10	9.280e-01	9.306e-01	-2.117e-03	7.954e-03	4.357e-01
ENSG00000236069_1	ENSG00000236069	ENSG00000236069	1	+	ENSG00000236069:s:192517190-192517906	ENSG00000236069_1_MES_1	False	Distal	192517906-192537754	False	False	192517190-192517906	192537754-192538102	192529579-192529715;192530307-192530504	2	False	True	True	632	294	8.176e-01	5.551e-01	-2.667e-01	9.783e-01	0.000e+00
ENSG00000236069_1	ENSG00000236069	ENSG00000236069	1	+	ENSG00000236069:s:192517190-192517906	ENSG00000236069_1_MES_1	False	Proximal	192517906-192529579	False	False	192517190-192517906	192529579-192529715	192529579-192529715;192530307-192530504	2	False	True	True	114	227	1.458e-01	4.214e-01	2.827e-01	9.838e-01	2.876e-20
ENSG00000236069_1	ENSG00000236069	ENSG00000236069	1	+	ENSG00000236069:t:192537754-192538102	ENSG00000236069_1_MES_1	False	Distal	192517906-192537754	False	False	192537754-192538102	192517190-192517906	192529579-192529715;192530307-192530504	2	False	True	True	632	294	8.600e-01	5.660e-01	-3.020e-01	9.963e-01	0.000e+00
ENSG00000236069_1	ENSG00000236069	ENSG00000236069	1	+	ENSG00000236069:t:192537754-192538102	ENSG00000236069_1_MES_1	False	Proximal	192530504-192537754	False	False	192517190-192517906	192530307-192530504	192529579-192529715;192530307-192530504	2	False	True	True	99	228	1.400e-01	4.340e-01	3.020e-01	9.963e-01	2.805e-20
ENSG00000176261_1	ENSG00000176261	ENSG00000176261	1	-	ENSG00000176261:s:32650402-32650903	ENSG00000176261_1_MES_1	False	Distal	32621948-32650402	False	False	32650402-32650903	32620820-32621948	32627508-32627544;32627572-32627865;32631825-32632058;32632208-32632345;32633262-32633354;32633645-32633727;32633951-32634792	7	False	False	False	150	168	9.590e-01	9.637e-01	4.458e-03	8.807e-21	7.946e-01
ENSG00000176261_1	ENSG00000176261	ENSG00000176261	1	-	ENSG00000176261:s:32650402-32650903	ENSG00000176261_1_MES_1	False	Proximal				32650402-32650903		32627508-32627544;32627572-32627865;32631825-32632058;32632208-32632345;32633262-32633354;32633645-32633727;32633951-32634792	7	False	False				4.102e-02;9.590e-01	3.634e-02;9.637e-01		8.751e-21;8.807e-21	7.946e-01;7.946e-01
ENSG00000176261_1	ENSG00000176261	ENSG00000176261	1	-	ENSG00000176261:t:32620820-32621948	ENSG00000176261_1_MES_1	False	Distal	32621948-32650402	False	False	32620820-32621948	32650402-32650903	32627508-32627544;32627572-32627865;32631825-32632058;32632208-32632345;32633262-32633354;32633645-32633727;32633951-32634792	7	False	False	False	150	168	9.461e-01	9.546e-01	7.183e-03	4.441e-16	7.071e-01
ENSG00000176261_1	ENSG00000176261	ENSG00000176261	1	-	ENSG00000176261:t:32620820-32621948	ENSG00000176261_1_MES_1	False	Proximal	32621948-32627508	False	False	32650402-32650903	32627508-32627544	32627508-32627544;32627572-32627865;32631825-32632058;32632208-32632345;32633262-32633354;32633645-32633727;32633951-32634792	7	False	False	False	8	9	5.387e-02	4.544e-02	-7.183e-03	1.015e-20	7.071e-01
ENSG00000197323_1	ENSG00000197323	ENSG00000197323	1	-	ENSG00000197323:s:114421436-114421636	ENSG00000197323_1_MES_1	False	Distal	114397990-114421436	False	False	114421436-114421636	114392790-114397990	114399457-114399609;114401389-114401463;114402760-114402883;114404326-114405759;114406941-114407100;114408677-114408740;114410184-114410316;114420380-114420451	8	False	False	False	3	7	4.782e-02	8.366e-02	2.494e-02	4.134e-05	4.628e-01
ENSG00000197323_1	ENSG00000197323	ENSG00000197323	1	-	ENSG00000197323:s:114421436-114421636	ENSG00000197323_1_MES_1	False	Proximal	114420451-114421436	False	False	114421436-114421636	114420380-114420451	114399457-114399609;114401389-114401463;114402760-114402883;114404326-114405759;114406941-114407100;114408677-114408740;114410184-114410316;114420380-114420451	8	False	False	False	72	74	9.522e-01	9.163e-01	-2.494e-02	4.134e-05	4.628e-01
ENSG00000197323_1	ENSG00000197323	ENSG00000197323	1	-	ENSG00000197323:t:114392790-114397990	ENSG00000197323_1_MES_1	False	Distal	114397990-114421436	False	False	114392790-114397990	114421436-114421636	114399457-114399609;114401389-114401463;114402760-114402883;114404326-114405759;114406941-114407100;114408677-114408740;114410184-114410316;114420380-114420451	8	False	False	False	3	7	4.586e-02	7.069e-02	1.430e-02	4.038e-08	6.218e-01
ENSG00000197323_1	ENSG00000197323	ENSG00000197323	1	-	ENSG00000197323:t:114392790-114397990	ENSG00000197323_1_MES_1	False	Proximal	114397990-114399457	False	False	114421436-114421636	114399457-114399609	114399457-114399609;114401389-114401463;114402760-114402883;114404326-114405759;114406941-114407100;114408677-114408740;114410184-114410316;114420380-114420451	8	False	False	False	76	91	9.541e-01	9.293e-01	-1.430e-02	4.049e-08	6.218e-01
ENSG00000075151_2	ENSG00000075151	ENSG00000075151	1	-		ENSG00000075151_2_MES_1	False	Distal	20851478-20941242	False	False	20941242-20941484	20851258-20851478	20853560-20853677;20854978-20855071;20857403-20857497;20860385-20860517;20862228-20862332;20864476-20864712;20865116-20865262;20879323-20879520;20886201-20886371;20892619-20892729;20893111-20893636;20895368-20895501;20899697-20899943;20904883-20904971;20929370-20929592	15	False	False		2	2					
ENSG00000075151_2	ENSG00000075151	ENSG00000075151	1	-		ENSG00000075151_2_MES_1	False	Proximal				20941242-20941484		20853560-20853677;20854978-20855071;20857403-20857497;20860385-20860517;20862228-20862332;20864476-20864712;20865116-20865262;20879323-20879520;20886201-20886371;20892619-20892729;20893111-20893636;20895368-20895501;20899697-20899943;20904883-20904971;20929370-20929592	15	False	False								
ENSG00000075151_2	ENSG00000075151	ENSG00000075151	1	-	ENSG00000075151:t:20851258-20851478	ENSG00000075151_2_MES_1	False	Distal	20851478-20941242	False	False	20851258-20851478	20941242-20941484	20853560-20853677;20854978-20855071;20857403-20857497;20860385-20860517;20862228-20862332;20864476-20864712;20865116-20865262;20879323-20879520;20886201-20886371;20892619-20892729;20893111-20893636;20895368-20895501;20899697-20899943;20904883-20904971;20929370-20929592	15	False	False	False	2	2	5.694e-02	1.054e-01	2.496e-02	1.421e-02	3.464e-01
ENSG00000075151_2	ENSG00000075151	ENSG00000075151	1	-	ENSG00000075151:t:20851258-20851478	ENSG00000075151_2_MES_1	False	Proximal	20851478-20853560	False	False	20941242-20941484	20853560-20853677	20853560-20853677;20854978-20855071;20857403-20857497;20860385-20860517;20862228-20862332;20864476-20864712;20865116-20865262;20879323-20879520;20886201-20886371;20892619-20892729;20893111-20893636;20895368-20895501;20899697-20899943;20904883-20904971;20929370-20929592	15	False	False	False	18	11	9.431e-01	8.946e-01	-2.496e-02	1.421e-02	3.464e-01
ENSG00000078369_3	ENSG00000078369	ENSG00000078369	1	-	ENSG00000078369:s:1889964-1890091	ENSG00000078369_3_MES_1	True	Distal	1853297-1889964	False	False	1889964-1890091	1853152-1853297	1853996-1854163;1858597-1858772;1876582-1876806;1879787-1879902	4	True	False	False	248	254	1.266e-01	1.300e-01	1.183e-05	5.825e-21	9.996e-01
ENSG00000078369_3	ENSG00000078369	ENSG00000078369	1	-	ENSG00000078369:s:1889964-1890091	ENSG00000078369_3_MES_1	True	Proximal	1879902-1889964	False	False	1889964-1890091	1879787-1879902	1853996-1854163;1858597-1858772;1876582-1876806;1879787-1879902	4	True	False	False	1677	1701	8.734e-01	8.700e-01	-1.183e-05	5.825e-21	9.996e-01
ENSG00000078369_3	ENSG00000078369	ENSG00000078369	1	-	ENSG00000078369:t:1853152-1853297	ENSG00000078369_3_MES_1	True	Distal	1853297-1889964	False	False	1853152-1853297	1889964-1890091	1853996-1854163;1858597-1858772;1876582-1876806;1879787-1879902	4	True	False	False	248	254	1.220e-01	1.262e-01	3.557e-07	5.823e-21	1.000e+00
ENSG00000078369_3	ENSG00000078369	ENSG00000078369	1	-	ENSG00000078369:t:1853152-1853297	ENSG00000078369_3_MES_1	True	Proximal	1853297-1853996	False	False	1889964-1890091	1853996-1854163	1853996-1854163;1858597-1858772;1876582-1876806;1879787-1879902	4	True	False	False	1758	1763	8.780e-01	8.738e-01	-3.556e-07	5.823e-21	1.000e+00
ENSG00000116406_4	ENSG00000116406	ENSG00000116406	1	-	ENSG00000116406:s:184723751-184723856	ENSG00000116406_4_MES_1	False	Distal	184717012-184723751	False	False	184723751-184723856	184713523-184717012	184717540-184717623;184718838-184721386	2	False	False	False	55	54	4.456e-01	4.937e-01	3.762e-02	4.980e-03	3.067e-01
ENSG00000116406_4	ENSG00000116406	ENSG00000116406	1	-	ENSG00000116406:s:184723751-184723856	ENSG00000116406_4_MES_1	False	Proximal	184721386-184723751	False	False	184723751-184723856	184718838-184721386	184717540-184717623;184718838-184721386	2	False	False	False	64	55	5.544e-01	5.063e-01	-3.762e-02	4.980e-03	3.067e-01
ENSG00000116406_4	ENSG00000116406	ENSG00000116406	1	-	ENSG00000116406:t:184713523-184717012	ENSG00000116406_4_MES_1	False	Distal	184717012-184723751	False	False	184713523-184717012	184723751-184723856	184717540-184717623;184718838-184721386	2	False	False	False	55	54	4.297e-01	4.584e-01	1.529e-02	2.119e-04	5.091e-01
ENSG00000116406_4	ENSG00000116406	ENSG00000116406	1	-	ENSG00000116406:t:184713523-184717012	ENSG00000116406_4_MES_1	False	Proximal	184717012-184717540	False	False	184723751-184723856	184717540-184717623	184717540-184717623;184718838-184721386	2	False	False	False	70	62	5.703e-01	5.416e-01	-1.529e-02	2.119e-04	5.091e-01
ENSG00000230426_2	ENSG00000230426	ENSG00000230426	1	+	ENSG00000230426:s:187303466-187303539	ENSG00000230426_2_MES_1	True	Distal	187303539-187417911	False	False	187303466-187303539	187417911-187418003	187307392-187307518;187373848-187374445	2	False	False	False	16	18	9.500e-01	9.147e-01	-1.407e-02	2.237e-03	4.830e-01
ENSG00000230426_2	ENSG00000230426	ENSG00000230426	1	+	ENSG00000230426:s:187303466-187303539	ENSG00000230426_2_MES_1	True	Proximal	187303539-187307392	False	False	187303466-187303539	187307392-187307518	187307392-187307518;187373848-187374445	2	False	False	False	1	1	5.002e-02	8.528e-02	1.407e-02	2.237e-03	4.830e-01
ENSG00000230426_2	ENSG00000230426	ENSG00000230426	1	+	ENSG00000230426:t:187417911-187418003	ENSG00000230426_2_MES_1	True	Distal	187303539-187417911	False	False	187417911-187418003	187303466-187303539	187307392-187307518;187373848-187374445	2	False	False	False	16	18	9.457e-01	8.947e-01	-3.066e-02	9.969e-03	3.312e-01
ENSG00000230426_2	ENSG00000230426	ENSG00000230426	1	+	ENSG00000230426:t:187417911-187418003	ENSG00000230426_2_MES_1	True	Proximal	187374445-187417911	False	False	187303466-187303539	187373848-187374445	187307392-187307518;187373848-187374445	2	False	False	False	2	2	5.435e-02	1.053e-01	3.066e-02	9.969e-03	3.312e-01
ENSG00000203864_1	ENSG00000203864	ENSG00000203864	1	+	ENSG00000203864:s:116694112-116694197	ENSG00000203864_1_MES_1	False	Distal	116694197-116706457	False	False	116694112-116694197	116706457-116706603	116694759-116694855;116705949-116706004	2	False	False	False	6	16	4.896e-02	9.058e-02	2.778e-02	1.278e-04	4.315e-01
ENSG00000203864_1	ENSG00000203864	ENSG00000203864	1	+	ENSG00000203864:s:116694112-116694197	ENSG00000203864_1_MES_1	False	Proximal	116694197-116694759	False	False	116694112-116694197	116694759-116694855	116694759-116694855;116705949-116706004	2	False	False	False	101	53	9.510e-01	9.094e-01	-2.778e-02	1.278e-04	4.315e-01
ENSG00000203864_1	ENSG00000203864	ENSG00000203864	1	+	ENSG00000203864:t:116706457-116706603	ENSG00000203864_1_MES_1	False	Distal	116694197-116706457	False	False	116706457-116706603	116694112-116694197	116694759-116694855;116705949-116706004	2	False	False	False	6	16	5.052e-02	9.323e-02	2.663e-02	1.117e-04	4.438e-01
ENSG00000203864_1	ENSG00000203864	ENSG00000203864	1	+	ENSG00000203864:t:116706457-116706603	ENSG00000203864_1_MES_1	False	Proximal	116706004-116706457	False	False	116694112-116694197	116705949-116706004	116694759-116694855;116705949-116706004	2	False	False	False	105	56	9.495e-01	9.068e-01	-2.663e-02	1.117e-04	4.438e-01
ENSG00000143337_1	ENSG00000143337	ENSG00000143337	1	+	ENSG00000143337:s:179884692-179884769	ENSG00000143337_1_MES_1	True	Distal	179884769-179917452	False	False	179884692-179884769	179917452-179920077	179887829-179887959;179889310-179889369;179900126-179900167;179901302-179901388;179903966-179904022;179904652-179904767;179907823-179907864;179908605-179908673;179913998-179914054	9	False	False	False	20	19	8.562e-01	8.446e-01	-1.211e-03	1.355e-02	3.394e-01
ENSG00000143337_1	ENSG00000143337	ENSG00000143337	1	+	ENSG00000143337:s:179884692-179884769	ENSG00000143337_1_MES_1	True	Proximal	179884769-179887829	False	False	179884692-179884769	179887829-179887959	179887829-179887959;179889310-179889369;179900126-179900167;179901302-179901388;179903966-179904022;179904652-179904767;179907823-179907864;179908605-179908673;179913998-179914054	9	False	False	False	4	3	1.438e-01	1.554e-01	1.211e-03	1.355e-02	3.394e-01
ENSG00000143337_1	ENSG00000143337	ENSG00000143337	1	+	ENSG00000143337:t:179917452-179920077	ENSG00000143337_1_MES_1	True	Distal	179884769-179917452	False	False	179917452-179920077	179884692-179884769	179887829-179887959;179889310-179889369;179900126-179900167;179901302-179901388;179903966-179904022;179904652-179904767;179907823-179907864;179908605-179908673;179913998-179914054	9	False	False	False	20	19	9.097e-01	8.580e-01	-2.480e-02	1.966e-02	3.387e-01
ENSG00000143337_1	ENSG00000143337	ENSG00000143337	1	+	ENSG00000143337:t:179917452-179920077	ENSG00000143337_1_MES_1	True	Proximal	179914054-179917452	False	False	179884692-179884769	179913998-179914054	179887829-179887959;179889310-179889369;179900126-179900167;179901302-179901388;179903966-179904022;179904652-179904767;179907823-179907864;179908605-179908673;179913998-179914054	9	False	False	False	1	3	9.035e-02	1.420e-01	2.480e-02	1.966e-02	3.387e-01
